# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000245424255081783e+00 2.754396281722035341e-04 1.000000000000000000e+00 1.000730380847628886e+00 1.000260466046466679e+00 3.041258291432584254e-04 1.000000000000000000e+00 1.000880798761479396e+00 1.000260466046466679e+00 3.041258291432712732e-04 1.000000000000000000e+00 1.000880798761479396e+00 1.000253129286470033e+00 2.896109595318177576e-04 1.000000000000000000e+00 1.000807431161511607e+00
9.504752376188093906e-04 1.000579769714519340e+00 5.751193711759732246e-04 1.000000000000000000e+00 1.001466049829472071e+00 1.000594822563607211e+00 5.995695682179951087e-04 1.000000000000000000e+00 1.001616578320352779e+00 1.000594822563607211e+00 5.995695682179725573e-04 1.000000000000000000e+00 1.001616578320352779e+00 1.000587480410123131e+00 5.873372599404249293e-04 1.000000000000000000e+00 1.001543156785510424e+00
1.425712856428214140e-03 1.000887431989183396e+00 8.926716808161619561e-04 9.999596706206117513e-01 1.002794352594176264e+00 1.000977775763973510e+00 9.730533164187020944e-04 1.000000000000000000e+00 1.002945080739763517e+00 1.000977775763973732e+00 9.730533164187447036e-04 1.000000000000000000e+00 1.002945080739763739e+00 1.000933709829546547e+00 9.321608282769553973e-04 1.000000000000000000e+00 1.002871561821662594e+00
1.900950475237618781e-03 1.001333061294424009e+00 1.276238059691243770e-03 9.999596706206117513e-01 1.003749380672476432e+00 1.001468783701143783e+00 1.456554462953767214e-03 1.000036653532496489e+00 1.004353139698444641e+00 1.001468783701143783e+00 1.456554462953763745e-03 1.000036653532496489e+00 1.004353139698444641e+00 1.001402583958121317e+00 1.367642880270967740e-03 1.000036653532496489e+00 1.004058651166059857e+00
2.376188094047023639e-03 1.001660341551842803e+00 1.525806122869884617e-03 9.999963307372305987e-01 1.004787891337480366e+00 1.001886700090633520e+00 1.800453200685536584e-03 1.000036653532496489e+00 1.005543484578070634e+00 1.001886700090633520e+00 1.800453200685578001e-03 1.000036653532496489e+00 1.005543484578070856e+00 1.001776291813466280e+00 1.664537512398056498e-03 1.000036653532496489e+00 1.005174937633129373e+00
2.851425712856428280e-03 1.001980451232813429e+00 1.831381826931895553e-03 1.000073311095732942e+00 1.005794786502306692e+00 1.002327576224813610e+00 2.135775552922198391e-03 1.000073311095732720e+00 1.006551136920792011e+00 1.002327576224813610e+00 2.135775552922214004e-03 1.000073311095732942e+00 1.006551136920792011e+00 1.002158263096477153e+00 1.985068941494084072e-03 1.000073311095732942e+00 1.006182220655977400e+00
3.326663331665832921e-03 1.002330663382468678e+00 2.084423058371650140e-03 1.000073311095732942e+00 1.006653292791686916e+00 1.002798766482520865e+00 2.448736402864535970e-03 1.000073311095732720e+00 1.007561824644386927e+00 1.002798766482520865e+00 2.448736402864538138e-03 1.000073311095732942e+00 1.007561824644386927e+00 1.002570445266588450e+00 2.267901395600267506e-03 1.000073311095732942e+00 1.007118680607745231e+00
3.801900950475237562e-03 1.002697276860872400e+00 2.374482044953261407e-03 1.000146638317380487e+00 1.007666117064772493e+00 1.003256346834480617e+00 2.791517163416842862e-03 1.000146638317380487e+00 1.008575563018802024e+00 1.003256346834480617e+00 2.791517163416800361e-03 1.000146638317380487e+00 1.008575563018802024e+00 1.002983655762468507e+00 2.583429968437961702e-03 1.000146638317380487e+00 1.008131973121564551e+00
4.277138569284642637e-03 1.003139506544534099e+00 2.698190769592221597e-03 1.000146638317380487e+00 1.008682004601708648e+00 1.003759459940375853e+00 3.143848484980432852e-03 1.000146638317380487e+00 1.009592367421746184e+00 1.003759459940376075e+00 3.143848484980432852e-03 1.000146638317380487e+00 1.009592367421746184e+00 1.003457072468162847e+00 2.919766080923526415e-03 1.000146638317380487e+00 1.009148330315418063e+00
4.752376188094047278e-03 1.003541500193427138e+00 3.028284449839387972e-03 1.000143011534607052e+00 1.009397960359989854e+00 1.004252511468334719e+00 3.492261026084986578e-03 1.000146638317380487e+00 1.010460964079339830e+00 1.004252511468334719e+00 3.492261026084996986e-03 1.000146638317380487e+00 1.010460964079339830e+00 1.003905709751340636e+00 3.261145556622163742e-03 1.000146638317380487e+00 1.009942475093226655e+00
5.227613806903451919e-03 1.004016152084996172e+00 3.409205489910041142e-03 1.000183307977269509e+00 1.010608905338112207e+00 1.004772998696845665e+00 3.870460868698691152e-03 1.000183307977269509e+00 1.011673184311689067e+00 1.004753025486074591e+00 3.843624510627366691e-03 1.000183307977269731e+00 1.011673184311689289e+00 1.004396436471210574e+00 3.631454667049790943e-03 1.000183307977269509e+00 1.011154073309623369e+00
5.702851425712856560e-03 1.004317469997404677e+00 3.673002672281054908e-03 1.000219981670855462e+00 1.010949481243008652e+00 1.005286670696697859e+00 4.201485125493552644e-03 1.000219981670855462e+00 1.012471078896896248e+00 1.005246655361676344e+00 4.139874372811965311e-03 1.000219981670855462e+00 1.012270867095651061e+00 1.004799101498464520e+00 3.914751070513347933e-03 1.000219981670855462e+00 1.011654689667467633e+00
6.178089044522261201e-03 1.004682764845913789e+00 3.861457230119584843e-03 1.000330026961186114e+00 1.011786139723769073e+00 1.005751698991025123e+00 4.381366210303658422e-03 1.000330026961185892e+00 1.013308996646893112e+00 1.005744186964244724e+00 4.395305879778921114e-03 1.000330026961186114e+00 1.013108619151017020e+00 1.005227532730872841e+00 4.122526609441653014e-03 1.000330026961186114e+00 1.012491931776411391e+00
6.653326663331665843e-03 1.005072424671793696e+00 4.092319273474249834e-03 1.000366716796954103e+00 1.012701231384794065e+00 1.006075766429546325e+00 4.481714815508550803e-03 1.000366716796954103e+00 1.014225465628298961e+00 1.006225407801407679e+00 4.660231429273337285e-03 1.000366716796954325e+00 1.014024906904623435e+00 1.005641849141862609e+00 4.344987944830139281e-03 1.000366716796954325e+00 1.013407661778283675e+00
7.128564282141070484e-03 1.005455251507272552e+00 4.350628766845186790e-03 1.000403410670118065e+00 1.013657696547531906e+00 1.006610879201700559e+00 4.800038426649109666e-03 1.000403410670118065e+00 1.015336190400011329e+00 1.006760660698072352e+00 4.979662825155430246e-03 1.000403410670118065e+00 1.015135412035289342e+00 1.006102735113475033e+00 4.633918905362377841e-03 1.000403410670118065e+00 1.014443063711490733e+00
7.603801900950475125e-03 1.005978164852944001e+00 4.581349640876278446e-03 1.000550226551547128e+00 1.014463830049224136e+00 1.007210819963721082e+00 5.117121746528800232e-03 1.000550226551546906e+00 1.016296646363675782e+00 1.007340664016950660e+00 5.266801738450538339e-03 1.000550226551546906e+00 1.015894709782159788e+00 1.006657714427148242e+00 4.895522071141340456e-03 1.000550226551546906e+00 1.015253679566352263e+00
8.079039519759880633e-03 1.006365515000561484e+00 4.749987882296450095e-03 1.000623658735899868e+00 1.014850120586728188e+00 1.007811951072761003e+00 5.422723742751340420e-03 1.000623658735899646e+00 1.016989864816880917e+00 1.007941948410858046e+00 5.578255491475833834e-03 1.000623658735899868e+00 1.016587654073429547e+00 1.007154628899644466e+00 5.135275623026377793e-03 1.000623658735899868e+00 1.015797089722534796e+00
8.554277138569285274e-03 1.006754715107153419e+00 4.963072506739048956e-03 1.000623658735899868e+00 1.015737424229123498e+00 1.008338979770457389e+00 5.720117682520448402e-03 1.000623658735899646e+00 1.018032357406324362e+00 1.008469060866402200e+00 5.870674064631044645e-03 1.000623658735899868e+00 1.017629734366021443e+00 1.007614461593692168e+00 5.391452874662846194e-03 1.000623658735899868e+00 1.016763734764782878e+00
9.029514757378689915e-03 1.007235471223896672e+00 5.189845812122058193e-03 1.000660380891580603e+00 1.016049139185245531e+00 1.008973272733583615e+00 6.052415623894795427e-03 1.000660380891580603e+00 1.018651645643908532e+00 1.009103532823911298e+00 6.211139394087510958e-03 1.000660380891580825e+00 1.018721452235460401e+00 1.008173932023374686e+00 5.676722982757037572e-03 1.000660380891580825e+00 1.017232910761396436e+00
9.504752376188094556e-03 1.007664075133476000e+00 5.388308534531144681e-03 1.000733837333660947e+00 1.016747111726582942e+00 1.009435162051039780e+00 6.257849060362118306e-03 1.000733837333660947e+00 1.018977047902278832e+00 1.009630489708593926e+00 6.467075504912256183e-03 1.000733837333660947e+00 1.019606883088203020e+00 1.008643706224532144e+00 5.899214709710072675e-03 1.000733837333660947e+00 1.017935626241877722e+00
