# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
1.061876416206359863e-01 9.630645513534545898e-01 9.993550181388854980e-01 9.790043830871582031e-01 5.771726965904235840e-01 7.940238118171691895e-01
3.650766313076019287e-01 2.174910008907318115e-01 9.990801811218261719e-01 2.249390929937362671e-01 9.978268742561340332e-01 2.648461759090423584e-01
2.644609808921813965e-01 1.821690052747726440e-01 9.999926090240478516e-01 7.508629560470581055e-01 7.872211337089538574e-01 9.598170518875122070e-01
8.763809502124786377e-02 5.531956553459167480e-01 7.642341256141662598e-01 7.657391428947448730e-01 4.244106113910675049e-01 6.468800306320190430e-01
9.077674150466918945e-01 9.888104200363159180e-01 8.596244454383850098e-01 5.161545872688293457e-01 9.431266784667968750e-01 7.843892574310302734e-01
1.925089955329895020e-02 7.784560322761535645e-01 2.681123316287994385e-01 9.986736774444580078e-01 9.998661279678344727e-01 9.997726082801818848e-01
4.315662980079650879e-01 7.927758097648620605e-01 8.587143421173095703e-01 9.998681545257568359e-01 9.698372483253479004e-01 1.023315116763114929e-01
6.165598705410957336e-02 9.970288872718811035e-01 6.611557602882385254e-01 1.000000000000000000e+00 7.009632587432861328e-01 8.579279184341430664e-01
6.196747347712516785e-02 7.300868630409240723e-01 7.262074351310729980e-01 3.497294485569000244e-01 4.012136757373809814e-01 9.951658248901367188e-01
4.435888826847076416e-01 9.995027780532836914e-01 8.429764509201049805e-01 8.606625795364379883e-01 7.868594676256179810e-02 9.013533592224121094e-01
5.435692071914672852e-01 4.438806176185607910e-01 9.708538055419921875e-01 9.864003658294677734e-01 9.708290696144104004e-01 6.368793249130249023e-01
6.638486385345458984e-01 6.821393370628356934e-01 6.632469892501831055e-01 1.260514855384826660e-01 3.554476425051689148e-02 6.735358238220214844e-01
2.791211009025573730e-01 9.641505479812622070e-01 7.585812211036682129e-01 6.130196452140808105e-01 2.926208376884460449e-01 6.728975176811218262e-01
3.718095272779464722e-02 9.294605255126953125e-01 2.797710895538330078e-01 5.036825537681579590e-01 8.053340911865234375e-01 9.926885962486267090e-01
1.516270786523818970e-01 9.990097284317016602e-01 9.588443636894226074e-01 9.097841978073120117e-01 2.480045408010482788e-01 9.974529147148132324e-01
5.113634467124938965e-01 1.456049680709838867e-01 9.702963829040527344e-01 6.409633159637451172e-01 4.370285570621490479e-01 9.993231296539306641e-01
3.574306964874267578e-01 9.974639415740966797e-01 9.980329871177673340e-01 9.309433698654174805e-01 9.405791759490966797e-01 5.338914394378662109e-01
7.092559933662414551e-01 6.324197649955749512e-01 8.088341951370239258e-01 7.265697121620178223e-01 4.542376995086669922e-01 6.281285881996154785e-01
3.174486458301544189e-01 9.433251023292541504e-01 9.971043467521667480e-01 2.827431857585906982e-01 7.399170994758605957e-01 2.857398986816406250e-01
7.703875303268432617e-01 9.995248317718505859e-01 2.368937283754348755e-01 2.896161675453186035e-01 9.886089563369750977e-01 1.512311398983001709e-01
7.210001349449157715e-02 3.391269147396087646e-01 7.379952669143676758e-01 4.405823051929473877e-01 8.383679389953613281e-01 5.175723433494567871e-01
4.090963304042816162e-01 3.870017826557159424e-01 9.967893958091735840e-01 9.646093845367431641e-01 4.757244288921356201e-01 2.387980818748474121e-01
3.474037051200866699e-01 7.775380015373229980e-01 9.953498840332031250e-01 9.750072956085205078e-01 2.235383391380310059e-01 2.736512124538421631e-01
6.201783418655395508e-01 1.719881892204284668e-01 9.853782653808593750e-01 8.743177056312561035e-01 9.088195562362670898e-01 7.338358759880065918e-01
2.141033485531806946e-02 7.580868005752563477e-01 9.998661279678344727e-01 6.423840522766113281e-01 8.744449615478515625e-01 6.866639256477355957e-01
6.706462502479553223e-01 9.877396225929260254e-01 4.153518676757812500e-01 7.908437252044677734e-01 4.812674820423126221e-01 8.622858524322509766e-01
4.461188018321990967e-01 9.467326402664184570e-01 1.321039646863937378e-01 5.050704479217529297e-01 9.504112601280212402e-01 8.151600360870361328e-01
7.307499647140502930e-01 9.842014908790588379e-01 4.161771833896636963e-01 7.401391863822937012e-01 8.047094196081161499e-02 9.268002510070800781e-01
9.155703783035278320e-01 5.427799224853515625e-01 4.621059894561767578e-01 9.991632699966430664e-01 9.242595434188842773e-01 9.545709490776062012e-01
7.228803038597106934e-01 3.977321088314056396e-01 9.801955819129943848e-01 9.998989105224609375e-01 4.939795732498168945e-01 8.206704854965209961e-01
5.227540731430053711e-01 8.293319940567016602e-01 3.955563306808471680e-01 3.867872804403305054e-02 7.286919951438903809e-01 7.773225307464599609e-01
1.589219570159912109e-01 9.776642918586730957e-01 7.326673269271850586e-01 6.276935338973999023e-01 4.460600912570953369e-01 8.649293184280395508e-01
4.012911915779113770e-01 9.020410180091857910e-01 1.149823516607284546e-01 6.434964537620544434e-01 6.013393998146057129e-01 7.869681715965270996e-01
3.966747820377349854e-01 9.999638795852661133e-01 3.020914793014526367e-01 9.688067436218261719e-01 9.915457367897033691e-01 7.837625741958618164e-01
