# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.405264172278741341e+00 0.000000000000000000e+00 1.405264172278741341e+00 1.405264172278741341e+00 4.106832343494125626e-01 5.551115123125782702e-17 4.106832343494125070e-01 4.106832343494125070e-01 1.070519269020705710e+00 2.220446049250313081e-16 1.070519269020705933e+00 1.070519269020705933e+00 2.851795487926071626e+00 0.000000000000000000e+00 2.851795487926071626e+00 2.851795487926071626e+00
4.752376188094046953e-04 1.405602068748140532e+00 3.790873089467642872e-04 1.405264172278741341e+00 1.406268283993134194e+00 4.107895843008798065e-01 1.241763314979194043e-04 4.106832343494125070e-01 4.110428692854450339e-01 1.070793915972803045e+00 3.206825019240896698e-04 1.070519269020705933e+00 1.071448016756153754e+00 2.852488434025354902e+00 7.924905042016894838e-04 2.851795487926071626e+00 2.854003000446330152e+00
9.504752376188093906e-04 1.406062659410618032e+00 7.919604914913950817e-04 1.405264172278741341e+00 1.407281711860788542e+00 4.109261029735760684e-01 2.448060872485602921e-04 4.106832343494125070e-01 4.113432878747699251e-01 1.071146468071872082e+00 6.321993492934980521e-04 1.070519269020705933e+00 1.072223822479118516e+00 2.853404215449864445e+00 1.608043248954570906e-03 2.851795487926071626e+00 2.856018045182711074e+00
1.425712856428214140e-03 1.406485431908281791e+00 1.228684989762310158e-03 1.405206537548450374e+00 1.409111416593211041e+00 4.110824618310692236e-01 3.972964979320455837e-04 4.106832343494125070e-01 4.118857053142120916e-01 1.071550248253694715e+00 1.025981060608014729e-03 1.070519269020705933e+00 1.073624529805955019e+00 2.854350379139560800e+00 2.550793822755595408e-03 2.851795487926071626e+00 2.859655906736533471e+00
1.900950475237618781e-03 1.407098647873674002e+00 1.755582036095931038e-03 1.405206537548450374e+00 1.410420558327072582e+00 4.112829361539936945e-01 5.947020884136676759e-04 4.106982002961560574e-01 4.124605913986747474e-01 1.072067939516202273e+00 1.535732296650977810e-03 1.070557918634732264e+00 1.075109025933006279e+00 2.855633140766926203e+00 3.740459444954055170e-03 2.851891787055121252e+00 2.862893762363319272e+00
2.376188094047023639e-03 1.407548197589977734e+00 2.098055449916589807e-03 1.405257042380828825e+00 1.411848774655808603e+00 4.114535660483416568e-01 7.351067891552525574e-04 4.106982002961560574e-01 4.129465775965339702e-01 1.072508555237281058e+00 1.898278325552932690e-03 1.070557918634732264e+00 1.076363915581566078e+00 2.856653970055449854e+00 4.550645797904461984e-03 2.851895890780521192e+00 2.865945628874721596e+00
2.851425712856428280e-03 1.407987430061476974e+00 2.518498909935092643e-03 1.405365169453402840e+00 1.413235464042248202e+00 4.116335682735685064e-01 8.720076832039398750e-04 4.107131678791672291e-01 4.133579673987343717e-01 1.072973365459656048e+00 2.251767543991343296e-03 1.070596572435233096e+00 1.077426153626739325e+00 2.857696509122782391e+00 5.427242386133982084e-03 2.851996304240334901e+00 2.868702905863214081e+00
3.326663331665832921e-03 1.408468113821709222e+00 2.866193073970929595e-03 1.405365169453402840e+00 1.414415608907431121e+00 4.118259456250338846e-01 9.997773419370276082e-04 4.107131678791672291e-01 4.137705891724804408e-01 1.073470124668488346e+00 2.581671835764018982e-03 1.070596572435233096e+00 1.078491542784617563e+00 2.858821710086508983e+00 6.199725183677594516e-03 2.851996304240334901e+00 2.871261805703651859e+00
3.801900950475237562e-03 1.408971780423022624e+00 3.264975596679321225e-03 1.405466188407376471e+00 1.415810302918444341e+00 4.120127633830257818e-01 1.139718450161675799e-03 4.107431079551850384e-01 4.141844490789614031e-01 1.073952515693151533e+00 2.942991357576147781e-03 1.070673892598681620e+00 1.079560098665619750e+00 2.859950439829133995e+00 7.061774657829538934e-03 2.852197162983523437e+00 2.874034877113968101e+00
4.277138569284642637e-03 1.409579991274416688e+00 3.710446983375766290e-03 1.405466188407376471e+00 1.417209130824830021e+00 4.122181688045974957e-01 1.283556735247745649e-03 4.107431079551850384e-01 4.145995533225909635e-01 1.074482894016233647e+00 3.314365485688541141e-03 1.070673892598681620e+00 1.080631836988646732e+00 2.861244741002447078e+00 7.981368465082360614e-03 2.852197162983523437e+00 2.876815998792159768e+00
4.752376188094047278e-03 1.410132335209674181e+00 4.164602609941339510e-03 1.405459116180199475e+00 1.418192779832857076e+00 4.124194637094561466e-01 1.425792701508216045e-03 4.107431079551850384e-01 4.149541467978564158e-01 1.075002647491584362e+00 3.681592369038027158e-03 1.070673892598681620e+00 1.081547321285477148e+00 2.862470245785142531e+00 8.914993260625820801e-03 2.852197162983523437e+00 2.878984583564747179e+00
5.227613806903451919e-03 1.410785344551440890e+00 4.689091473229287620e-03 1.405516706054051657e+00 1.419860003328685005e+00 4.126319564968172204e-01 1.580184952152937760e-03 4.107580804487882542e-01 4.154490111776892314e-01 1.075530086705870358e+00 4.051686281641268123e-03 1.070712558963141436e+00 1.082824917831698652e+00 2.863811670913407159e+00 9.927659475679282558e-03 2.852297608270633944e+00 2.882299184909408840e+00
5.702851425712856560e-03 1.411197306895137116e+00 5.051436760887646586e-03 1.405567229148491304e+00 1.420322442371393379e+00 4.128416652910150697e-01 1.715317267632847581e-03 4.107730545798524702e-01 4.157747297527145114e-01 1.076050260029155270e+00 4.363621562090764378e-03 1.070751229517100667e+00 1.083453161825782995e+00 2.864907373460492845e+00 1.069996375802538015e-02 2.852398064170580394e+00 2.883651511916109467e+00
6.178089044522261201e-03 1.411698229300270446e+00 5.310221583930675900e-03 1.405718831128187185e+00 1.421474240571484859e+00 4.130314529016668734e-01 1.788658307697225166e-03 4.108179868007945656e-01 4.161167817738468111e-01 1.076574542363804898e+00 4.632809203515084011e-03 1.070867266323538791e+00 1.084336025482590227e+00 2.866074877514549257e+00 1.126582720968694919e-02 2.852699495566123566e+00 2.885941518577375131e+00
6.653326663331665843e-03 1.412233520389731378e+00 5.627539651386553182e-03 1.405769376023477957e+00 1.422733949093911265e+00 4.131635650066913246e-01 1.829429191717709454e-03 4.108329674846873947e-01 4.164908939519703091e-01 1.077081774288689342e+00 4.911968828577514823e-03 1.070905953643061848e+00 1.085301615251318852e+00 2.867204891856554916e+00 1.187162699700305968e-02 2.852799993936105949e+00 2.888445940537294199e+00
7.128564282141070484e-03 1.412758519814250935e+00 5.982240738501114208e-03 1.405819926371430828e+00 1.424048372682095165e+00 4.133820207624703258e-01 1.959365217303283245e-03 4.108479498075341407e-01 4.169442952811986403e-01 1.077645936049590913e+00 5.248550760937456539e-03 1.070944645155868624e+00 1.086471818393706990e+00 2.868461774948831255e+00 1.265984856933084421e-02 2.852900502928273685e+00 2.891273014817289599e+00
7.603801900950475125e-03 1.413477473937351458e+00 6.298603925125914951e-03 1.406022182309481616e+00 1.425155793114642133e+00 4.136269401979527638e-01 2.088788728740864371e-03 4.109078954944396789e-01 4.173363492631977922e-01 1.078257092640257930e+00 5.550810274851999439e-03 1.071099453155090364e+00 1.087270235315339395e+00 2.869977782694447033e+00 1.337161036377235157e-02 2.853302645156229111e+00 2.893480812324044305e+00
8.079039519759880633e-03 1.414007823041531164e+00 6.528773727207336751e-03 1.406123343019985983e+00 1.425683126493244801e+00 4.138723427342950734e-01 2.213526875490285251e-03 4.109378781793907032e-01 4.176193139224430584e-01 1.078890820773926951e+00 5.878985659198769989e-03 1.071176882334111014e+00 1.088000371812708700e+00 2.871331397704822930e+00 1.402302872151528663e-02 2.853503780051993566e+00 2.894957851121595649e+00
8.554277138569285274e-03 1.414541749887544331e+00 6.820796163737622049e-03 1.406123343019985983e+00 1.426902155611536438e+00 4.140874903518473316e-01 2.334920234257377263e-03 4.109378781793907032e-01 4.180448421856725050e-01 1.079446350984388792e+00 6.187056064512866209e-03 1.071176882334111014e+00 1.089098339809737803e+00 2.872585523399640905e+00 1.472103233697958334e-02 2.853503780051993566e+00 2.897596066275296423e+00
9.029514757378689915e-03 1.415201499038340582e+00 7.131212339471025563e-03 1.406173931564043356e+00 1.427326787849810374e+00 4.143464236080475205e-01 2.470547426949777636e-03 4.109528719832879484e-01 4.182976217118719031e-01 1.080115009407414561e+00 6.545762571206189227e-03 1.071215603221128188e+00 1.090250229643170421e+00 2.874111700896485821e+00 1.549757132952348654e-02 2.853604363451879511e+00 2.898869864738987001e+00
9.504752376188094556e-03 1.415789638085256819e+00 7.403036433344905957e-03 1.406275125034679885e+00 1.428285152291465687e+00 4.145348486106554264e-01 2.554289016347973708e-03 4.109828645154232629e-01 4.184297918122133475e-01 1.080670016880769024e+00 6.815105416620696396e-03 1.071293057593971199e+00 1.091181380747991092e+00 2.875391143527853188e+00 1.610180558168941914e-02 2.853805562165033116e+00 2.900781867978224238e+00
9.979989994997499198e-03 1.416353079473480436e+00 7.723797729214540442e-03 1.406477577533555401e+00 1.429459819043008784e+00 4.147503271236404609e-01 2.710901345537759365e-03 4.110106998106442533e-01 4.189599393245356795e-01 1.081281281378749792e+00 7.145570358664210704e-03 1.071448016756153754e+00 1.092576733243762588e+00 2.876726788476652974e+00 1.687367883174217473e-02 2.854208087297380736e+00 2.903332655036352072e+00
1.045522761380690384e-02 1.416991955878794673e+00 8.062896776312982600e-03 1.406680117495015425e+00 1.430639097679283767e+00 4.149753502662446580e-01 2.815820317768104927e-03 4.110707789988891636e-01 4.193199134852987342e-01 1.081918318682969282e+00 7.500193280243543266e-03 1.071603043180857195e+00 1.093936177858532588e+00 2.878169750694292706e+00 1.764038879793260878e-02 2.854610782804547497e+00 2.906108339704495336e+00
1.093046523261630848e-02 1.417597559308221955e+00 8.256489057218686922e-03 1.406933415537073406e+00 1.431501604104467251e+00 4.152501060985195336e-01 2.938120029735224494e-03 4.111609472006509391e-01 4.197671098625304631e-01 1.082606609858151270e+00 7.815356558023893452e-03 1.071796920873814951e+00 1.095176450233908749e+00 2.879675727106425054e+00 1.824401839908818684e-02 2.855114391961260711e+00 2.908470582594235410e+00
1.140570285142571312e-02 1.418169372375479131e+00 8.538038919417319586e-03 1.406876077859079865e+00 1.432525841202777706e+00 4.154677812576604845e-01 3.012285458241583530e-03 4.112230414142841739e-01 4.201355220369605292e-01 1.083224854312813346e+00 8.094883099971941082e-03 1.071913298012576510e+00 1.096088669170496965e+00 2.881028138179961395e+00 1.885180935458900114e-02 2.855211515234786113e+00 2.910723602172772928e+00
1.188094047023511776e-02 1.418663244294247949e+00 8.884380201504775421e-03 1.406768055872192891e+00 1.433875079556830245e+00 4.157091485249259089e-01 3.117399222251674394e-03 4.112530931428891590e-01 4.205370723398773602e-01 1.083848191148943041e+00 8.366244483434800983e-03 1.071990903835695841e+00 1.097086421503772558e+00 2.882331793659683061e+00 1.953442064840460457e-02 2.855207898984015280e+00 2.913407066077730700e+00
1.235617808904452240e-02 1.419152441033298517e+00 9.134554626157127474e-03 1.407122991401085210e+00 1.434959668608332795e+00 4.159431194797472142e-01 3.218225419176099552e-03 4.113583261003804226e-01 4.209236458371434231e-01 1.084452397346642893e+00 8.624324426135270352e-03 1.072262657015588871e+00 1.098086903521929392e+00 2.883605682742760301e+00 2.010753181795128450e-02 2.855913676140879431e+00 2.915780423623480555e+00
1.283141570785392704e-02 1.419578267731032906e+00 9.249470680813033641e-03 1.407224450907389013e+00 1.435184209659008836e+00 4.161838585050364192e-01 3.320246135927756685e-03 4.113884075002831042e-01 4.212409668445352695e-01 1.085052558556029556e+00 8.859396187027170078e-03 1.072340338749033117e+00 1.099376968111190900e+00 2.884819502976930128e+00 2.053924989426220496e-02 2.856115422907738122e+00 2.916876558195214741e+00
1.330665332666333169e-02 1.420113869239279181e+00 9.623176950072696509e-03 1.406856243864392120e+00 1.435892972669810419e+00 4.164126450881157626e-01 3.424748655607514052e-03 4.114034506751784170e-01 4.216794914631963320e-01 1.085643384395236000e+00 9.133118872252835030e-03 1.072379185947536229e+00 1.100510225054946112e+00 2.886121047556471808e+00 2.126341757166616553e-02 2.855805802117566738e+00 2.919730581300792771e+00
1.378189094547273633e-02 1.420696019194633841e+00 9.917659505344024115e-03 1.406798950678642468e+00 1.437035817294797679e+00 4.166097327554008634e-01 3.495619766877706893e-03 4.114485901032608473e-01 4.218846947506288969e-01 1.086319742010757539e+00 9.391392397816706802e-03 1.072495752879345066e+00 1.101604828400846170e+00 2.887518146692712229e+00 2.184103351546046526e-02 2.855903215914184834e+00 2.921716275591780043e+00
1.425712856428214097e-02 1.421167338623975596e+00 1.010953077018849657e-02 1.407205006284270921e+00 1.437536773978270066e+00 4.168449958885419582e-01 3.575123489817268272e-03 4.115690345895411939e-01 4.223256932717547874e-01 1.086927357050767595e+00 9.598298469173481215e-03 1.072806783965081667e+00 1.102744996022090751e+00 2.888778808404802945e+00 2.230006563861528998e-02 2.856710806093803789e+00 2.924661150045482660e+00
1.473236618309154561e-02 1.421699821628703342e+00 1.028028820734754913e-02 1.407205006284270921e+00 1.438493447516249857e+00 4.171118152684155089e-01 3.701772992444108974e-03 4.115690345895411939e-01 4.228337343526114567e-01 1.087616469985342338e+00 9.927510088209143616e-03 1.072806783965081667e+00 1.104058453354396230e+00 2.890206391566619626e+00 2.289563010234934443e-02 2.856710806093803789e+00 2.927631179618737534e+00
1.520760380190095025e-02 1.422285193352272881e+00 1.040559120650418924e-02 1.407408165984953996e+00 1.439118145751517419e+00 4.173754468601300616e-01 3.805738322823332218e-03 4.116292965115369018e-01 4.232777188200331220e-01 1.088276232226079276e+00 1.022539306930998239e-02 1.072962401018574541e+00 1.105206264456612075e+00 2.891654356171891038e+00 2.339740799901347118e-02 2.857114858184366835e+00 2.929749784626634934e+00
1.568284142071035489e-02 1.422762478882042547e+00 1.068494298303120614e-02 1.407452617124832717e+00 1.440140443863494157e+00 4.176168834611700409e-01 3.922944054852274889e-03 4.117046611515524646e-01 4.236735480379648089e-01 1.088933860213498139e+00 1.050324282772979734e-02 1.073157017599465135e+00 1.106229552015471684e+00 2.892972873371871145e+00 2.403488046654543228e-02 2.857414768599729982e+00 2.931756648736520976e+00
1.615807903951976127e-02 1.423340943367817690e+00 1.092504802952273465e-02 1.407446292707076774e+00 1.440753336558940223e+00 4.178254229121071139e-01 3.942347534672176884e-03 4.117649826772237232e-01 4.239337821123355665e-01 1.089598861201592772e+00 1.074628290642070001e-02 1.073312787135317192e+00 1.107252457425387249e+00 2.894364993742961634e+00 2.452156271461676182e-02 2.857613754469336076e+00 2.933898628914252793e+00
1.663331665832916417e-02 1.423960759535020770e+00 1.125781673596892678e-02 1.407649679309424640e+00 1.442537495125421954e+00 4.181028741184381059e-01 4.043506548381442349e-03 4.118253307249632456e-01 4.243114827763770358e-01 1.090350869888597973e+00 1.109437370316194646e-02 1.073468624521056958e+00 1.108797627515587303e+00 2.895946488158446464e+00 2.526540274293222199e-02 2.858018308553442299e+00 2.937460838111976003e+00
1.710855427713857055e-02 1.424487665518686663e+00 1.147145399148504809e-02 1.407802277137757851e+00 1.443826500431882653e+00 4.183746089599360007e-01 4.131251034207686010e-03 4.118706091775694023e-01 4.247610782186233003e-01 1.091052733663797181e+00 1.131986286355514404e-02 1.073585547116487904e+00 1.109960759668365826e+00 2.897385093652489196e+00 2.575667935267263869e-02 2.858321836897947943e+00 2.940248536015394709e+00
