# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 7.651588065447546827e-02 4.156685398029347916e-02 1.924927815206929627e-02 1.544754571703561008e-01
2.004008016032063962e-03 1.926852743022136605e-01 1.960121017059143073e-02 1.665062560153994231e-01 2.338787295476419670e-01
4.008016032064127925e-03 2.403753609239653311e-01 1.088744090092940223e-02 2.165543792107796073e-01 2.526467757459095465e-01
6.012024048096191453e-03 2.882098171318575597e-01 2.454419781424928976e-02 2.560153994225216612e-01 3.320500481231953849e-01
8.016032064128255849e-03 3.299807507218480152e-01 2.211474203736567973e-02 3.002887391722810495e-01 3.739172281039461199e-01
1.002004008016032024e-02 3.632338787295475990e-01 1.909442040644298427e-02 3.286814244465832702e-01 3.941289701636188636e-01
1.202404809619238291e-02 3.938402309913378030e-01 1.893536140472179552e-02 3.546679499518767820e-01 4.258902791145331990e-01
1.402805611222444730e-02 4.276227141482194516e-01 1.402062504639362862e-02 4.037536092396535325e-01 4.518768046198267663e-01
1.603206412825651170e-02 4.532242540904716788e-01 1.615076382196152169e-02 4.234841193455245456e-01 4.764196342637150861e-01
1.803607214428857436e-02 4.755052935514917922e-01 1.787626114642821770e-02 4.470644850818094596e-01 4.942252165543792319e-01
2.004008016032064049e-02 4.926852743022136494e-01 1.296971451840202121e-02 4.643888354186718193e-01 5.062560153994225542e-01
2.204408817635270315e-02 5.109720885466795259e-01 1.451343236151839480e-02 4.783445620789220643e-01 5.245428296438883198e-01
2.404809619238476581e-02 5.253128007699711111e-01 1.433101971386662593e-02 4.990375360923965387e-01 5.428296438883541963e-01
2.605210420841683194e-02 5.426371511068335263e-01 1.384610626244808622e-02 5.149181905678537063e-01 5.630413859480269956e-01
2.805611222444889460e-02 5.519730510105871346e-01 1.420734960970659010e-02 5.288739172281039513e-01 5.697786333012512250e-01
3.006012024048096073e-02 5.627045235803656009e-01 1.370125771523964843e-02 5.437921077959576577e-01 5.842155919153031451e-01
3.206412825651302340e-02 5.735322425409047353e-01 1.385546942285129264e-02 5.529355149181905960e-01 5.943214629451395448e-01
3.406813627254508953e-02 5.817613089509142688e-01 1.213897468458222106e-02 5.630413859480269956e-01 5.996150144369586377e-01
3.607214428857714872e-02 5.903272377285851968e-01 1.126339810911652570e-02 5.769971126082772406e-01 6.087584215591915759e-01
3.807615230460921485e-02 5.992300288739172975e-01 1.217012681549434552e-02 5.827718960538980086e-01 6.150144369586140192e-01
4.008016032064128098e-02 6.079884504331087847e-01 1.434878431312653670e-02 5.875842155919153154e-01 6.246390760346487436e-01
4.208416833667334017e-02 6.147738209817130706e-01 1.315137463578583930e-02 5.967276227141482536e-01 6.318575553416746482e-01
4.408817635270540630e-02 6.219923002887391972e-01 1.306657746139121973e-02 6.049085659287776195e-01 6.400384985563041251e-01
4.609218436873747243e-02 6.287295476419634266e-01 1.341291096710874910e-02 6.102021174205967124e-01 6.501443695861405248e-01
4.809619238476953162e-02 6.345043310875841946e-01 1.329498535470770119e-02 6.159769008662174805e-01 6.592877767083734630e-01
5.010020040080159776e-02 6.408565928777670839e-01 1.268308702759990934e-02 6.203079884504331121e-01 6.645813282001924449e-01
5.210420841683366389e-02 6.467757459095284656e-01 1.316853233993229254e-02 6.217516843118383596e-01 6.742059672762271694e-01
5.410821643286573002e-02 6.522136669874878390e-01 1.271955318881574752e-02 6.270452358036573415e-01 6.770933589990375534e-01
5.611222444889778921e-02 6.580365736284889966e-01 1.199648619894734883e-02 6.342637151106833571e-01 6.809432146294513988e-01
5.811623246492985534e-02 6.633782483156881460e-01 1.230910063756369272e-02 6.381135707410972024e-01 6.862367661212704917e-01
6.012024048096192147e-02 6.679980750721847826e-01 1.183957754308713126e-02 6.462945139557266794e-01 6.905678537054860122e-01
6.212424849699398066e-02 6.723772858517805817e-01 1.198605732477138822e-02 6.549566891241578315e-01 6.977863330125120278e-01
6.412825651302604679e-02 6.786814244465831925e-01 1.317741036862464521e-02 6.573628488931665403e-01 7.050048123195380434e-01
6.613226452905811292e-02 6.834937439846006102e-01 1.255277662527154794e-02 6.689124157844080765e-01 7.098171318575553501e-01
6.813627254509017905e-02 6.870548604427333395e-01 1.152156132977601860e-02 6.722810394610202467e-01 7.122232916265640590e-01
