# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
0.000000000000000000e+00 1.143322144237615690e-02 4.340245984314195643e-03 5.594547858813955776e-03 1.769911504424778736e-02 2.023191943851083280e-02 7.596370356938737106e-03 8.340962262231715885e-03 3.193978232122876570e-02 2.668090733394364727e-02 1.039059493596268188e-02 9.154714678059200361e-03 4.058590173939578827e-02 3.935510121045671800e-02 1.571534334589531554e-02 1.515613874478689838e-02 6.428644085037127365e-02 4.127759129284915007e-02 1.771809242663265407e-02 1.373207201708880054e-02 6.967755060522835830e-02
2.004008016032063962e-03 1.196216051266402458e-01 1.407087407469535985e-02 9.378496592411758592e-02 1.451530871732275574e-01 1.770521818736649489e-01 1.740919123010662567e-02 1.477977825246668819e-01 2.137117282066931245e-01 2.069443739477735134e-01 1.772479612754933320e-02 1.814667887295290383e-01 2.459566676838571830e-01 2.737941349080014186e-01 2.545768206618762367e-02 2.283592716915878451e-01 3.159393754450208758e-01 2.736344217271894363e-01 3.173779335465489598e-02 2.135082901027362534e-01 3.283490997863899863e-01
4.008016032064127925e-03 1.968975689146577057e-01 1.314138111713417795e-02 1.798392838978740693e-01 2.260197334960838134e-01 2.690672362933577699e-01 1.472080987930425924e-02 2.517546536466280238e-01 2.981385413487946390e-01 2.998820344381163960e-01 1.457642028312555217e-02 2.836944359678567618e-01 3.275353473705625018e-01 3.891770928694944232e-01 2.865998145240022249e-02 3.356728715288373466e-01 4.207099989828094744e-01 3.896348286033973762e-01 4.009086457500704581e-02 3.132946800935815235e-01 4.300681517648255459e-01
6.012024048096191453e-03 2.544807242396500691e-01 1.413673804119850233e-02 2.319194385108330758e-01 2.867460075272098563e-01 3.306174346455091340e-01 1.687230874388863378e-02 3.001729223883633502e-01 3.663920252263249133e-01 3.635947512969179285e-01 1.409491727645909888e-02 3.388261621401688628e-01 3.937544502085240650e-01 4.622418879056047203e-01 2.276139885865277948e-02 4.145051368121249191e-01 4.993388261621401480e-01 4.633607974773674698e-01 3.422141096813927086e-02 3.895839690774082209e-01 4.947614688231105617e-01
8.016032064128255849e-03 3.001525785779676769e-01 1.051814346450933961e-02 2.778964500050859487e-01 3.153290611331502347e-01 3.772129550526136521e-01 9.945858479205814048e-03 3.571355914962872635e-01 3.914149120130200332e-01 4.118502695554878135e-01 9.541599507148137288e-03 3.923303834808259394e-01 4.251856372698606390e-01 5.155935306682941643e-01 1.686646662658340332e-02 4.775709490387549661e-01 5.318889227952395826e-01 5.160716102125928462e-01 3.222299181793972928e-02 4.521411860441460484e-01 5.545722713864307263e-01
1.002004008016032024e-02 3.423049537178313173e-01 9.920898546066559201e-03 3.189909470043739148e-01 3.603906011595972014e-01 4.198962465669819899e-01 9.777100665758568440e-03 3.975180551317261668e-01 4.355609805716610938e-01 4.543179737564845833e-01 1.037257058852038630e-02 4.336283185840708043e-01 4.735021869596175437e-01 5.611026345234462198e-01 1.409370966678447600e-02 5.308717322754551438e-01 5.775607771335571350e-01 5.624656698199572702e-01 3.036708795585474699e-02 4.990336690062048830e-01 5.922083206184518556e-01
1.202404809619238291e-02 3.746109246261825065e-01 1.427077335544549991e-02 3.504221340657104888e-01 3.986369647034889718e-01 4.518665446038042655e-01 1.190330671323346773e-02 4.305767470247177098e-01 4.720781202319194181e-01 4.860746617841521511e-01 1.251104643465231897e-02 4.648560675414505350e-01 5.125623029193367985e-01 5.935510121045671772e-01 1.164599190595231107e-02 5.783745295493846195e-01 6.173329264571254527e-01 5.956972841013121744e-01 2.590826586562216746e-02 5.436883328247380520e-01 6.271996744990336881e-01
1.402805611222444730e-02 4.029396806021768862e-01 1.307919139004368701e-02 3.807344115552843133e-01 4.263045468416234440e-01 4.794120638795645872e-01 1.243042191593766305e-02 4.582443291628521820e-01 5.012714881497304376e-01 5.111178923812429442e-01 1.312970357881877194e-02 4.870308208727494592e-01 5.374834706540535523e-01 6.200081375241582871e-01 1.330585126539633213e-02 6.001424066727698570e-01 6.431695656596480015e-01 6.227545519275758945e-01 2.520466132515664787e-02 5.675923100396704779e-01 6.485606754145051278e-01
1.603206412825651170e-02 4.264164377987997301e-01 1.286916466110335673e-02 3.998575933272301985e-01 4.458346048214830715e-01 5.020954124707558419e-01 1.297740977527338940e-02 4.755365679991862549e-01 5.209032651815684867e-01 5.336384904892685910e-01 1.264141526188833353e-02 5.072729122164580939e-01 5.554877428542366324e-01 6.422947818126335529e-01 1.236915383077400073e-02 6.233343505238531090e-01 6.617841521717017228e-01 6.453565252771843452e-01 2.312355070751767952e-02 5.967856779574813864e-01 6.698199572779981459e-01
1.803607214428857436e-02 4.501271488149730660e-01 7.414586308428054717e-03 4.358661377275963589e-01 4.611941816702268548e-01 5.245041196216051471e-01 8.072315272547968615e-03 5.107313599837249862e-01 5.354490896144847856e-01 5.546943342488048767e-01 7.750003874987886066e-03 5.411453565252771769e-01 5.672871528837351018e-01 6.632692503305869236e-01 1.099471441073887439e-02 6.433730037636049559e-01 6.761265385006611783e-01 6.667480419082493226e-01 2.438661183654684816e-02 6.121452548062251697e-01 6.879259485301596477e-01
