# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 9.890364353601489682e-04 1.027250280267410143e-03 1.131058842610080124e-04 2.655580681559797582e-03 9.088450882327608199e-03 2.037499112322271530e-02 0.000000000000000000e+00 6.602629015653979638e-02 2.859285546802518146e-02 8.498022237369720622e-02 0.000000000000000000e+00 2.835244541225545034e-01 3.533345412928838580e-02 1.060003623878651435e-01 0.000000000000000000e+00 3.533345412928838303e-01
1.497487437185929596e-02 2.300575493049471058e-03 7.377635805187039665e-04 1.294749770585811727e-03 3.976698709069445385e-03 2.442516514105735892e-02 4.052012794572269760e-02 0.000000000000000000e+00 1.072012079853846417e-01 1.237635997596855386e-01 1.896659960701126413e-01 0.000000000000000000e+00 4.518831731410428709e-01 1.530353010414188808e-01 2.349913489529771582e-01 0.000000000000000000e+00 5.539221447031524859e-01
1.994974874371859344e-02 3.362291617571241432e-03 1.245576022468265287e-03 5.082000887906924563e-04 5.095310187884266769e-03 6.258419376330551231e-02 5.496778361211585029e-02 0.000000000000000000e+00 1.462926077513511947e-01 2.671324577980021542e-01 2.565177198427002203e-01 0.000000000000000000e+00 6.213550447311769753e-01 3.627369041341535483e-01 3.355429431736237644e-01 0.000000000000000000e+00 7.931167010105060200e-01
2.492462311557788746e-02 3.962913713878953546e-03 1.070185622219535417e-03 2.574371099298135897e-03 6.134715458190544320e-03 9.354055964491632402e-02 6.389483454447687782e-02 0.000000000000000000e+00 1.811855985525770152e-01 3.528430559472834904e-01 2.902893192637330810e-01 0.000000000000000000e+00 6.196583688665936451e-01 4.509564669616720201e-01 3.349876929545388404e-01 0.000000000000000000e+00 7.572691744856957508e-01
2.989949748743718494e-02 4.751194703233986051e-03 1.241078959982310501e-03 3.094217098948089106e-03 7.194353812574045062e-03 1.402794026660998949e-01 4.288585970247282136e-02 6.632231731248738882e-02 2.222258786142178033e-01 6.377892345647359074e-01 2.799969637079431917e-01 0.000000000000000000e+00 1.051241764570626014e+00 8.197091170208720134e-01 2.478906128613890258e-01 4.102924048779761912e-01 1.284696573528680608e+00
3.487437185929648242e-02 4.668450250060015433e-03 1.046423916189123367e-03 3.379271533960396395e-03 6.829328840703542333e-03 1.883767237752338175e-01 3.829002496290666302e-02 1.496499269951948041e-01 2.592012769046506682e-01 8.947332412436530547e-01 1.561685795330418902e-01 7.079204919936308293e-01 1.226154259852124895e+00 1.085275164242729629e+00 1.972496955749013237e-01 8.651321332980148604e-01 1.498452810132612223e+00
3.984924623115577991e-02 5.742290431436597974e-03 1.739671188142971180e-03 3.492877284734499134e-03 9.204125708121633012e-03 1.830563599878847758e-01 2.848539599337415740e-02 1.480883375975417804e-01 2.350310399410869555e-01 9.377791063463565280e-01 1.787285503699468092e-01 7.314892580418852486e-01 1.401066755133624220e+00 1.137813290765390395e+00 2.226699288545997413e-01 8.833847514552191083e-01 1.712209046736544060e+00
4.482412060301507739e-02 5.182931333471309590e-03 1.205630318923995572e-03 3.835249557101699184e-03 7.750004760269354857e-03 1.800318543909913416e-01 3.210163040201706453e-02 1.489901366317240017e-01 2.355740903279676390e-01 9.320763267293890042e-01 1.932371165347624986e-01 7.210545869398976571e-01 1.354895000062362964e+00 1.103566635421579401e+00 1.930712910354145662e-01 8.687579951521624544e-01 1.387272014147664656e+00
4.979899497487437487e-02 5.629673551693685496e-03 1.340215791133153415e-03 4.177621829468899234e-03 9.091856418745786900e-03 1.808634531172592097e-01 1.961801873515513217e-02 1.511039076062430375e-01 2.136931954643200016e-01 9.277910389809868041e-01 1.542689000645044162e-01 7.147985619679348979e-01 1.187863490427274460e+00 1.107541009698570056e+00 1.693049967861081084e-01 8.735376525860429897e-01 1.375918197761066830e+00
5.477386934673367236e-02 5.548852242210950900e-03 1.408921437577378023e-03 4.479826750919711949e-03 9.434289268553816554e-03 1.898545533556518505e-01 2.469181118218788037e-02 1.538704217451840606e-01 2.350409516206950489e-01 9.235354257408083800e-01 1.115973073789194719e-01 7.768035101674112264e-01 1.111863596935241727e+00 1.121266286937694145e+00 1.419094707990638249e-01 9.156323969092861059e-01 1.358781016274980491e+00
