# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 5.332565232255979948e-02 3.786558984144224038e-02 5.674693324189428525e-03 8.610221728348786685e-02 3.777415821001457452e-01 4.604567910331396757e-02 2.463905936996008406e-01 3.996542585579263562e-01 8.541954851190025622e-01 3.792515132326666760e-02 7.405125808046588709e-01 8.687394943688777627e-01 9.457261992165809650e-01 3.730380595491274848e-02 8.338615710932141267e-01 9.606899720362593875e-01
1.497487437185929596e-02 3.224958258855123439e-02 2.073419386309728954e-02 5.999811726697201406e-03 6.938593059401063079e-02 4.393037947243767505e-01 8.606366819617751462e-02 2.614580926180373188e-01 4.892052135687656178e-01 1.019642627876612639e+00 7.112302705980910744e-02 8.485729701867841257e-01 1.064015240032931908e+00 1.133399005228551193e+00 6.849275355448171398e-02 9.706868035581931453e-01 1.176176839918289474e+00
1.994974874371859344e-02 2.576878273379005699e-02 3.193842401344128973e-02 8.003609894605346470e-03 1.138783525694604670e-01 4.189857178600548404e-01 1.252474095941807086e-01 2.832024162586487259e-01 5.645657201182160412e-01 1.126812568339819132e+00 1.014719425010184306e-01 9.678316909480716435e-01 1.228150827642774168e+00 1.251124538874585301e+00 9.865685384949803016e-02 1.109672331443368298e+00 1.357345531650767212e+00
2.492462311557788746e-02 1.888936686237591145e-02 1.504831800302229225e-02 8.127092651816896288e-03 5.789750828540496386e-02 4.338690565952587619e-01 1.331768151053595861e-01 2.979667609189182720e-01 6.311484824416345729e-01 1.209338659895270451e+00 1.353332307068283724e-01 1.041018781527317971e+00 1.372494678234046583e+00 1.359372855115633438e+00 1.269239527714270122e-01 1.197757735961466619e+00 1.516635538964751229e+00
2.989949748743718494e-02 1.493646778291730579e-02 3.855290672925941464e-03 9.765284077656291931e-03 2.248997547607008846e-02 4.415194149545532132e-01 9.031433383906252443e-02 3.494634734568538570e-01 6.311812663956738456e-01 1.312072520767979311e+00 1.006345899997401622e-01 1.181899778806744683e+00 1.503418236296202526e+00 1.470543016771909794e+00 8.047105307820458242e-02 1.353927741931671092e+00 1.572123097323565588e+00
3.487437185929648242e-02 1.469214690225307055e-02 3.260672684514802962e-03 1.066416922697305952e-02 2.141884774339662678e-02 4.590448607139460679e-01 5.267191740897167462e-02 3.995063395676557438e-01 5.519021286375215274e-01 1.396449367640730799e+00 5.469572593935691923e-02 1.313903117864371417e+00 1.497322575413984280e+00 1.577484474583367602e+00 5.524294975220769843e-02 1.500473014088784085e+00 1.677523905000965376e+00
3.984924623115577991e-02 1.803039991111208759e-02 5.383920238524364694e-03 1.102437653575879563e-02 2.867208654974620630e-02 4.639479232413603604e-01 4.619679446142285068e-02 4.038668466374190635e-01 5.396810942883425444e-01 1.483436122108350075e+00 6.222027344843799462e-02 1.387330066100156634e+00 1.615857457528548480e+00 1.677354066606923766e+00 6.268413783275687823e-02 1.580717685585994126e+00 1.807774307320796581e+00
4.482412060301507739e-02 1.630780440254259861e-02 3.750844644618066097e-03 1.210302808276138807e-02 2.430636682501699508e-02 4.675307891343409850e-01 5.512745665268185824e-02 4.115636260457568585e-01 5.592096085116291526e-01 1.541603849832099637e+00 8.142924232924844685e-02 1.429026598866186326e+00 1.682781216084285214e+00 1.742122541684954840e+00 7.771294029084056809e-02 1.631663469450734372e+00 1.844353221764059469e+00
4.979899497487437487e-02 1.771820598178317635e-02 4.166492787138208719e-03 1.318167962976397878e-02 2.845948854303842479e-02 4.796914961457680593e-01 3.637391631819204135e-02 4.210771113066950622e-01 5.386645526965826436e-01 1.602599324746528442e+00 7.968113381241942461e-02 1.471785163989399958e+00 1.721744630217364014e+00 1.815735674669746613e+00 7.511405139884833049e-02 1.693499971922269864e+00 1.920422991911433064e+00
5.477386934673367236e-02 1.747098061075237976e-02 4.381082790744415811e-03 1.413377060767775049e-02 2.953766777543158015e-02 5.025728964856512881e-01 4.557729754760444368e-02 4.316575242753336594e-01 5.819590115533247454e-01 1.661441772758642799e+00 6.419980794962013015e-02 1.564627702582415125e+00 1.761286935885546301e+00 1.890160743581454028e+00 6.759848536297845267e-02 1.774866025710522210e+00 1.992799753311578881e+00
5.974874371859296984e-02 1.830245897978693970e-02 4.196509730170870124e-03 1.498079778097750371e-02 2.943262765653132870e-02 5.226428072096686028e-01 4.570539720413096391e-02 4.536865883615952555e-01 5.840573717371627671e-01 1.745128020617488840e+00 6.656887217249962685e-02 1.622076439614912324e+00 1.858705388630909283e+00 1.981811081595420188e+00 6.581878159331883138e-02 1.863687038697688703e+00 2.100199281706466969e+00
6.472361809045226733e-02 1.811689352581052209e-02 4.162689966975111761e-03 1.395762845400528099e-02 2.825193358190979803e-02 5.395726187404337182e-01 4.642176150354331010e-02 4.537970158067657911e-01 6.091097034092227691e-01 1.809263214480111071e+00 7.840688462142270110e-02 1.666770966154782929e+00 1.910242381953735524e+00 2.055185874841047422e+00 8.011610720307379974e-02 1.907277600924154548e+00 2.144224585959531915e+00
6.969849246231155093e-02 1.973694889679703662e-02 5.002646684993011447e-03 1.610562840913300556e-02 3.339127839659730701e-02 5.654901085922954262e-01 5.421854342036664526e-02 4.650267023134095901e-01 6.470814042508979957e-01 1.876820559427465840e+00 8.129521884213559979e-02 1.715773822489590206e+00 1.974974196680114202e+00 2.130807212041457177e+00 7.598028878124273022e-02 1.977784058102599163e+00 2.236729094718761690e+00
7.467336683417084842e-02 1.925947424574304262e-02 4.649947360972376750e-03 1.539970441437055367e-02 3.074733632334629430e-02 5.788483764347875926e-01 4.812548569233882079e-02 4.948108011333282596e-01 6.841126950345189917e-01 1.943471489267422969e+00 8.418169150429323511e-02 1.761689158431472446e+00 2.062175792588004430e+00 2.209408176411283620e+00 8.485648881437837798e-02 2.032460521365801132e+00 2.332570015670124786e+00
