# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
1.517393738031387329e-01 9.914718270301818848e-01 7.711803317070007324e-01 9.812592864036560059e-01 9.852161407470703125e-01 9.656881093978881836e-01 4.393531680107116699e-01
5.631121397018432617e-01 9.993160963058471680e-01 9.342076182365417480e-01 7.663453221321105957e-01 5.217322111129760742e-01 4.958742856979370117e-01 7.686453461647033691e-01
6.624360680580139160e-01 9.839982986450195312e-01 7.562062740325927734e-01 9.035696983337402344e-01 6.830477714538574219e-01 9.752562642097473145e-01 4.838951528072357178e-01
3.296198844909667969e-01 8.337723612785339355e-01 7.477580308914184570e-01 9.526557326316833496e-01 8.044267296791076660e-01 2.854030132293701172e-01 6.314540505409240723e-01
7.364984750747680664e-01 9.909142255783081055e-01 9.998683929443359375e-01 8.253699541091918945e-01 9.461403489112854004e-01 1.168639287352561951e-01 3.704408705234527588e-01
2.039453834295272827e-01 9.743576049804687500e-01 9.971625208854675293e-01 9.685220718383789062e-01 9.714950323104858398e-01 5.227565765380859375e-01 6.183827519416809082e-01
1.573246717453002930e-01 5.002891421318054199e-01 3.814943432807922363e-01 5.848968029022216797e-01 9.085614681243896484e-01 5.280383229255676270e-01 3.614009916782379150e-01
2.232030034065246582e-01 8.327610492706298828e-01 9.984826445579528809e-01 4.076188802719116211e-01 5.999234318733215332e-01 7.338832020759582520e-01 6.484665870666503906e-01
1.326263844966888428e-01 9.986221790313720703e-01 9.945697188377380371e-01 9.993017911911010742e-01 8.898200988769531250e-01 9.866509437561035156e-01 9.239234924316406250e-01
4.945152699947357178e-01 9.942871928215026855e-01 9.933562278747558594e-01 8.568642735481262207e-01 9.834488034248352051e-01 8.267668485641479492e-01 6.306402087211608887e-01
4.885767996311187744e-01 9.792288541793823242e-01 9.135847091674804688e-01 9.973313808441162109e-01 9.888833165168762207e-01 9.419100880622863770e-01 8.957998752593994141e-01
5.769777297973632812e-01 9.990401864051818848e-01 2.926704287528991699e-01 9.960078001022338867e-01 3.934267759323120117e-01 4.184032678604125977e-01 9.444308876991271973e-01
3.558647334575653076e-01 9.565284252166748047e-01 9.716184735298156738e-01 9.858365058898925781e-01 9.646056294441223145e-01 3.589693009853363037e-01 9.250615239143371582e-01
2.905218005180358887e-01 9.948908090591430664e-01 9.963382482528686523e-01 5.851902961730957031e-01 4.097632467746734619e-01 8.413035869598388672e-01 9.929290413856506348e-01
3.058069050312042236e-01 9.943096637725830078e-01 9.994632601737976074e-01 4.208081364631652832e-01 9.613325595855712891e-01 1.510210484266281128e-01 9.970189332962036133e-01
2.917479276657104492e-01 9.541060328483581543e-01 9.925548434257507324e-01 9.919555783271789551e-01 6.843647956848144531e-01 9.824816584587097168e-01 6.311910152435302734e-01
5.746211409568786621e-01 9.494429826736450195e-01 9.994897842407226562e-01 6.759872436523437500e-01 9.814831614494323730e-01 9.306040406227111816e-01 3.529980778694152832e-01
7.291789054870605469e-01 6.534031629562377930e-01 9.569222331047058105e-01 7.997097373008728027e-01 9.645022749900817871e-01 8.787541389465332031e-01 3.853261470794677734e-01
2.141008675098419189e-01 8.154220581054687500e-01 4.275251626968383789e-01 8.105371594429016113e-01 7.921556234359741211e-01 8.218595385551452637e-01 3.884198963642120361e-01
9.768567681312561035e-01 9.848390817642211914e-01 9.393265843391418457e-01 9.987750649452209473e-01 9.996467828750610352e-01 6.194682717323303223e-01 2.021786719560623169e-01
2.728587388992309570e-01 9.172164797782897949e-01 5.014485716819763184e-01 9.869565963745117188e-01 7.714474797248840332e-01 5.661462545394897461e-01 5.028165578842163086e-01
6.491666436195373535e-01 9.247519373893737793e-01 7.512390017509460449e-01 9.796352982521057129e-01 9.857023358345031738e-01 9.361073970794677734e-01 9.818253517150878906e-01
2.906983196735382080e-01 9.456834197044372559e-01 9.911284446716308594e-01 9.901998639106750488e-01 1.629205495119094849e-01 8.109166026115417480e-01 3.225675523281097412e-01
2.519967854022979736e-01 9.994097948074340820e-01 8.503599762916564941e-01 5.469556450843811035e-01 5.372300148010253906e-01 8.960258364677429199e-01 9.885802865028381348e-01
1.587215065956115723e-01 9.201409816741943359e-01 9.155848026275634766e-01 3.653364479541778564e-01 9.734532833099365234e-01 7.419427633285522461e-01 6.005566120147705078e-01
4.700582325458526611e-01 5.597671270370483398e-01 9.991605281829833984e-01 4.141750633716583252e-01 3.710751235485076904e-01 9.998874664306640625e-01 6.303158998489379883e-01
1.622048765420913696e-01 9.439302682876586914e-01 9.948363304138183594e-01 5.653066039085388184e-01 7.115305066108703613e-01 9.833055138587951660e-01 4.804593920707702637e-01
1.060211583971977234e-01 8.076935410499572754e-01 4.267519414424896240e-01 9.880540966987609863e-01 9.992295503616333008e-01 8.438074588775634766e-01 9.128335714340209961e-01
9.718949198722839355e-01 7.317407727241516113e-01 9.319587349891662598e-01 9.449828267097473145e-01 9.750639796257019043e-01 2.457862794399261475e-01 6.599738597869873047e-01
4.956555068492889404e-01 8.528763651847839355e-01 5.357205271720886230e-01 9.866125583648681641e-01 5.635069012641906738e-01 4.293901622295379639e-01 2.642691731452941895e-01
5.292899608612060547e-01 5.735104084014892578e-01 7.208917737007141113e-01 5.157444477081298828e-01 9.744639992713928223e-01 9.800231456756591797e-01 9.956576824188232422e-01
4.076559841632843018e-01 9.985828399658203125e-01 9.976047277450561523e-01 9.847700595855712891e-01 5.769044756889343262e-01 4.073352813720703125e-01 1.363469064235687256e-01
5.100628137588500977e-01 9.957498311996459961e-01 9.986602067947387695e-01 9.434236288070678711e-01 9.984310269355773926e-01 8.710902929306030273e-01 9.969564676284790039e-01
5.567881464958190918e-01 9.027857780456542969e-01 8.625206947326660156e-01 9.586299061775207520e-01 6.467058658599853516e-01 3.457939028739929199e-01 5.704363584518432617e-01
5.499191954731941223e-02 9.994125366210937500e-01 5.826121568679809570e-01 5.380264520645141602e-01 5.179799199104309082e-01 6.349132657051086426e-01 7.969375252723693848e-01
1.559582799673080444e-01 9.460245966911315918e-01 9.925038814544677734e-01 6.993852853775024414e-01 9.959024786949157715e-01 5.254985094070434570e-01 8.892644047737121582e-01
2.479224279522895813e-02 2.047148644924163818e-01 6.266413331031799316e-01 9.664730429649353027e-01 9.995996356010437012e-01 5.727177262306213379e-01 2.201195508241653442e-01
1.497453600168228149e-01 8.053424358367919922e-01 9.974773526191711426e-01 9.950474500656127930e-01 9.605438113212585449e-01 8.981568217277526855e-01 8.536717295646667480e-01
4.758109748363494873e-01 9.827085137367248535e-01 9.981391429901123047e-01 6.025880575180053711e-01 5.676556229591369629e-01 9.876127839088439941e-01 2.512708306312561035e-01
4.798449873924255371e-01 8.711349368095397949e-01 9.974387884140014648e-01 6.620394587516784668e-01 4.278615117073059082e-01 9.363057017326354980e-01 3.617532551288604736e-01
1.427940279245376587e-01 9.976171851158142090e-01 9.864149689674377441e-01 9.956861734390258789e-01 4.520506858825683594e-01 7.544893026351928711e-01 9.039030671119689941e-01
2.025365382432937622e-01 9.755997657775878906e-01 9.733720421791076660e-01 6.032123565673828125e-01 9.587642550468444824e-01 9.994992017745971680e-01 9.787348508834838867e-01
4.681618809700012207e-01 9.657685756683349609e-01 9.996821880340576172e-01 9.994621872901916504e-01 9.949706196784973145e-01 4.940599203109741211e-01 8.092232346534729004e-01
1.451822221279144287e-01 9.908898472785949707e-01 9.992769360542297363e-01 1.562421172857284546e-01 9.984810948371887207e-01 4.702786803245544434e-01 6.514937877655029297e-01
