# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000004161812477310e+00 1.248543743179730689e-05 1.000000000000000000e+00 1.000041618124772658e+00 1.000004150475792830e+00 1.245142737875681792e-05 1.000000000000000000e+00 1.000041504757929189e+00 1.000004106525202108e+00 1.231957560619001447e-05 1.000000000000000000e+00 1.000041065252020633e+00 1.000004094315975367e+00 1.228294792596784510e-05 1.000000000000000000e+00 1.000040943159753226e+00
1.425712856428214140e-03 1.000008324144618488e+00 2.497243385493064035e-05 1.000000000000000000e+00 1.000083241446183102e+00 1.000008301468422234e+00 2.490440526676796347e-05 1.000000000000000000e+00 1.000083014684222560e+00 1.000008213556352166e+00 2.464066905663031684e-05 1.000000000000000000e+00 1.000082135563522101e+00 1.000008189134894421e+00 2.456740468352869571e-05 1.000000000000000000e+00 1.000081891348945096e+00
1.900950475237618781e-03 1.000024973993278721e+00 4.995058533147648589e-05 1.000000000000000000e+00 1.000166503683242336e+00 1.000024905956204968e+00 4.981449704334751482e-05 1.000000000000000000e+00 1.000166050046191302e+00 1.000024642187316015e+00 4.928690481006334890e-05 1.000000000000000000e+00 1.000164291369121550e+00 1.000024568913927103e+00 4.914034300707874792e-05 1.000000000000000000e+00 1.000163802819765024e+00
2.376188094047023639e-03 1.000070762766543275e+00 7.687163121549243493e-05 1.000000000000000000e+00 1.000208142601055616e+00 1.000070569977862478e+00 7.666218343645155389e-05 1.000000000000000000e+00 1.000207575484013622e+00 1.000069822567318578e+00 7.585018908309797505e-05 1.000000000000000000e+00 1.000205376865298978e+00 1.000069614941349494e+00 7.562462236772473203e-05 1.000000000000000000e+00 1.000204766103453213e+00
2.851425712856428280e-03 1.000133226870822067e+00 1.428006797264128524e-04 1.000000000000000000e+00 1.000458085366121352e+00 1.000132863830961893e+00 1.424114757281535147e-04 1.000000000000000000e+00 1.000456836774336500e+00 1.000131456387827633e+00 1.409026026423862573e-04 1.000000000000000000e+00 1.000451996215182326e+00 1.000131065409983311e+00 1.404834493723849281e-04 1.000000000000000000e+00 1.000450651546430869e+00
3.326663331665832921e-03 1.000191529167389515e+00 1.688648694392739277e-04 1.000000000000000000e+00 1.000541441269318321e+00 1.000191007212995364e+00 1.684045620440805836e-04 1.000000000000000000e+00 1.000539965292484013e+00 1.000178873711704775e+00 1.473126279753795708e-04 1.000000000000000000e+00 1.000433143453025808e+00 1.000180161014262437e+00 1.500810528412752890e-04 1.000000000000000000e+00 1.000450048138578740e+00
3.801900950475237562e-03 1.000241515645869494e+00 1.969560428907208985e-04 1.000000000000000000e+00 1.000624818011062844e+00 1.000240857407802553e+00 1.964191064785160857e-04 1.000000000000000000e+00 1.000623114535660996e+00 1.000228194741822119e+00 1.761794952354955109e-04 1.000000000000000000e+00 1.000515402538555421e+00 1.000229335429000610e+00 1.786801905870129313e-04 1.000000000000000000e+00 1.000532063767096469e+00
4.277138569284642637e-03 1.000312361683809659e+00 2.570187793800258742e-04 1.000000000000000000e+00 1.000875073354450251e+00 1.000311510203662380e+00 2.563178534035899210e-04 1.000000000000000000e+00 1.000872686701524295e+00 1.000298095919819108e+00 2.323864354843684088e-04 1.000000000000000000e+00 1.000762301593852932e+00 1.000299028961587622e+00 2.353654357532384991e-04 1.000000000000000000e+00 1.000778231729262613e+00
