# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 1.462248704848337910e-01 7.463310739864641684e-03 1.307239779273340619e-01 1.576788555092265287e-01 3.379867908530097553e-01 6.575244488491843731e-02 2.433436727998520566e-01 4.109884773359474552e-01 9.032814307982258706e-01 4.940315914901181188e-02 8.088677310035780055e-01 9.421170854378475568e-01 1.238550310654215503e+00 5.799766338117070402e-02 1.180536192633705017e+00 1.325659417409616347e+00
1.497487437185929596e-02 1.815962630214862095e-01 8.212249525613122061e-03 1.660556987372585613e-01 1.941945754852973383e-01 3.722761949446035112e-01 8.296809725170024852e-02 2.823768911136192994e-01 5.034533685749209564e-01 1.070774420273225891e+00 5.336320918678968961e-02 1.023961821308579934e+00 1.153608059914553952e+00 1.441501003579814144e+00 8.513141264284761200e-02 1.337300823197693056e+00 1.621647379738265782e+00
1.994974874371859344e-02 2.091080508647039371e-01 8.824642078965459768e-03 1.943898071722975074e-01 2.267983158739201865e-01 3.773616662780557851e-01 8.468065517792258690e-02 2.928745477532846420e-01 5.810353710674799332e-01 1.220482474776831916e+00 7.385859348739394481e-02 1.126797256448809792e+00 1.331884426803741528e+00 1.634974658110782686e+00 8.784991835485814193e-02 1.513998143043499445e+00 1.859744384269667039e+00
2.492462311557788746e-02 2.326298903588692735e-01 6.528169410063506053e-03 2.193146921401050442e-01 2.424131504047973285e-01 3.975679480388105702e-01 1.012852412063018903e-01 3.125862531363750030e-01 6.490389382820213049e-01 1.300693316496829066e+00 8.714936800431609398e-02 1.191601237488462361e+00 1.487615651289885932e+00 1.786504599249427283e+00 8.233324432544610050e-02 1.636242582230632125e+00 1.958233756546424287e+00
2.989949748743718494e-02 2.551962543077833656e-01 9.861585398780440062e-03 2.428358405939227693e-01 2.794282337166162367e-01 4.363774665741281256e-01 1.054610018478837757e-01 3.336870114898149442e-01 7.113050789382331374e-01 1.409817925593573218e+00 9.482966132400676151e-02 1.294273363542123079e+00 1.630010486792621283e+00 1.934605247616047574e+00 6.792099970218899718e-02 1.803799789678013132e+00 2.015407952104335987e+00
3.487437185929648242e-02 2.746864487247576148e-01 1.108796896538134097e-02 2.642780475917210214e-01 3.049905913752631315e-01 4.334246642570979691e-01 5.889330525990258552e-02 3.769798377239939602e-01 5.952957401519315406e-01 1.478646728913612929e+00 7.342646894158434689e-02 1.391947351704504454e+00 1.665787910642174463e+00 2.078925816439870733e+00 6.335793281545543110e-02 1.985170137593500472e+00 2.169376658314528861e+00
3.984924623115577991e-02 2.961564452124106905e-01 1.092860760224683911e-02 2.814745201145257836e-01 3.249539902724288831e-01 4.484964190377853654e-01 5.227325029400579914e-02 3.756005226671606523e-01 5.703163896009958433e-01 1.567521919040717249e+00 7.753073543472145668e-02 1.423892415692632918e+00 1.736095441738190637e+00 2.218329607915697554e+00 6.495367168855679940e-02 2.135152304067359008e+00 2.353278273669599407e+00
4.482412060301507739e-02 3.162001875033225717e-01 1.236322244138320786e-02 2.995357570932761226e-01 3.500137000638952056e-01 4.688690991473206116e-01 4.393453823996596591e-02 4.025977430479052988e-01 5.362756351872336458e-01 1.654602155438184230e+00 7.926521552425631889e-02 1.530846931538604405e+00 1.795101468895406782e+00 2.359083224804491064e+00 6.937207243760173947e-02 2.226463476327448898e+00 2.448875964025073682e+00
4.979899497487437487e-02 3.333010301709506407e-01 1.192099476847260399e-02 3.137764381914451839e-01 3.629200929781496443e-01 4.944479014472346057e-01 4.420870354490350623e-02 4.360717029895761487e-01 5.839562727212150861e-01 1.722735263820183604e+00 6.714192963913717671e-02 1.581643926492535268e+00 1.810676899069905810e+00 2.487324255839408416e+00 7.174384543618353427e-02 2.364264137409191502e+00 2.612711123924476020e+00
5.477386934673367236e-02 3.482005996856797903e-01 1.241216840516488895e-02 3.297516893899508639e-01 3.777496282939561412e-01 5.169576664937480803e-01 3.807388806814520493e-02 4.450551284645096750e-01 5.679339836115888662e-01 1.802458909217073302e+00 6.903962654602270599e-02 1.692155406620997171e+00 1.922155324591856562e+00 2.612593170107467611e+00 7.847039820714844793e-02 2.507734668371835784e+00 2.768053030694622940e+00
