# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000002799042727819e+00 8.397128183790236733e-06 1.000000000000000000e+00 1.000027990427279301e+00 1.000002799042727819e+00 8.397128183790236733e-06 1.000000000000000000e+00 1.000027990427279301e+00 1.000002799042727819e+00 8.397128183790236733e-06 1.000000000000000000e+00 1.000027990427279301e+00 1.000002799042727819e+00 8.397128183790236733e-06 1.000000000000000000e+00 1.000027990427279301e+00
1.425712856428214140e-03 1.000008397363236101e+00 1.792324238912434370e-05 1.000000000000000000e+00 1.000055983205082599e+00 1.000008397363236101e+00 1.792324238912434370e-05 1.000000000000000000e+00 1.000055983205082599e+00 1.000008397363236101e+00 1.792324238906539360e-05 1.000000000000000000e+00 1.000055983205082377e+00 1.000008397363236101e+00 1.792324238906539360e-05 1.000000000000000000e+00 1.000055983205082377e+00
1.900950475237618781e-03 1.000030792761102294e+00 4.591425009380094871e-05 1.000000000000000000e+00 1.000139975644923629e+00 1.000030792761102294e+00 4.591425009377523279e-05 1.000000000000000000e+00 1.000139975644923629e+00 1.000030792761102294e+00 4.591425009376304907e-05 1.000000000000000000e+00 1.000139975644923629e+00 1.000030792761102294e+00 4.591425009376304907e-05 1.000000000000000000e+00 1.000139975644923629e+00
2.376188094047023639e-03 1.000061527425353480e+00 7.384796395980261822e-05 1.000000000000000000e+00 1.000251998492009298e+00 1.000075591317215906e+00 8.858605583269107248e-05 1.000000000000000000e+00 1.000251998492009298e+00 1.000075591317215906e+00 8.858605583270581763e-05 1.000000000000000000e+00 1.000251998492009298e+00 1.000069992212931913e+00 8.042293199002512277e-05 1.000000000000000000e+00 1.000251998492009298e+00
2.851425712856428280e-03 1.000109138734770031e+00 1.156775906951066084e-04 1.000000000000000000e+00 1.000336040334324217e+00 1.000123205384142455e+00 1.412557571595157106e-04 1.000000000000000000e+00 1.000420103363954816e+00 1.000123205384142455e+00 1.412557571595148432e-04 1.000000000000000000e+00 1.000420103363954816e+00 1.000117605182041292e+00 1.300387323918879040e-04 1.000000000000000000e+00 1.000364101342942513e+00
3.326663331665832921e-03 1.000145482997043089e+00 1.158420455793904476e-04 1.000000000000000000e+00 1.000335482783533125e+00 1.000173617083945699e+00 1.603111708440470567e-04 1.000000000000000000e+00 1.000476157158836532e+00 1.000173617083945699e+00 1.603111708440307665e-04 1.000000000000000000e+00 1.000476157158836532e+00 1.000162416365962370e+00 1.416050453763819566e-04 1.000000000000000000e+00 1.000420152000016660e+00
3.801900950475237562e-03 1.000195846135864652e+00 1.352771008051206791e-04 1.000000000000000000e+00 1.000391538118691415e+00 1.000238053178695408e+00 1.993734087004881154e-04 1.000000000000000000e+00 1.000616332878235815e+00 1.000238053178695408e+00 1.993734087005458492e-04 1.000000000000000000e+00 1.000616332878235815e+00 1.000221249747850649e+00 1.710715713253526033e-04 1.000000000000000000e+00 1.000504306866941917e+00
4.277138569284642637e-03 1.000251832951718489e+00 1.751789963147335231e-04 1.000000000000000000e+00 1.000503186045505366e+00 1.000308111377144593e+00 2.413638803029964587e-04 1.000000000000000000e+00 1.000784621540876662e+00 1.000308111377144593e+00 2.413638803030222627e-04 1.000000000000000000e+00 1.000784621540876662e+00 1.000285705859811802e+00 2.125875395288574657e-04 1.000000000000000000e+00 1.000672576688487636e+00
