# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000002764179949155e+00 8.292539847598591441e-06 1.000000000000000000e+00 1.000027641799491995e+00 1.000002790530970520e+00 8.371592911826654010e-06 1.000000000000000000e+00 1.000027905309706089e+00 1.000002754916549552e+00 8.264749648723145419e-06 1.000000000000000000e+00 1.000027549165495744e+00 1.000002713092458251e+00 8.139277374952236582e-06 1.000000000000000000e+00 1.000027130924583174e+00
1.425712856428214140e-03 1.000008292769080986e+00 1.769999623644868378e-05 1.000000000000000000e+00 1.000055285891318313e+00 1.000008371826536679e+00 1.786873675971379356e-05 1.000000000000000000e+00 1.000055812955661816e+00 1.000008264977348293e+00 1.764067746524921004e-05 1.000000000000000000e+00 1.000055100607986525e+00 1.000008139498212989e+00 1.737285439598253449e-05 1.000000000000000000e+00 1.000054264057547382e+00
1.900950475237618781e-03 1.000030409189057279e+00 4.534229619175796300e-05 1.000000000000000000e+00 1.000138231923968890e+00 1.000030699111784438e+00 4.577460719904351971e-05 1.000000000000000000e+00 1.000139549914284220e+00 1.000030307270183494e+00 4.519032248611682323e-05 1.000000000000000000e+00 1.000137768600566135e+00 1.000029847109104697e+00 4.450416558177951539e-05 1.000000000000000000e+00 1.000135676709722699e+00
2.376188094047023639e-03 1.000060673351925056e+00 7.290247018311119627e-05 1.000000000000000000e+00 1.000248858746074943e+00 1.000075361395522222e+00 8.831658395081975967e-05 1.000000000000000000e+00 1.000251231919723205e+00 1.000074399373420464e+00 8.718908038969305253e-05 1.000000000000000000e+00 1.000248024487639498e+00 1.000067756550550691e+00 7.784823313576376359e-05 1.000000000000000000e+00 1.000244257848140084e+00
2.851425712856428280e-03 1.000107691328038673e+00 1.141073881715639672e-04 1.000000000000000000e+00 1.000331852957685230e+00 1.000122830578264566e+00 1.408259701996615436e-04 1.000000000000000000e+00 1.000418825100189979e+00 1.000121262345920359e+00 1.390276950811842422e-04 1.000000000000000000e+00 1.000413476709721250e+00 1.000113906612536185e+00 1.258808074515808928e-04 1.000000000000000000e+00 1.000352055021560549e+00
3.326663331665832921e-03 1.000143495100064728e+00 1.141537315512806424e-04 1.000000000000000000e+00 1.000330425751228658e+00 1.000173088890687012e+00 1.598233560489255767e-04 1.000000000000000000e+00 1.000474708216746889e+00 1.000170878869214741e+00 1.577822894722836556e-04 1.000000000000000000e+00 1.000468645698198156e+00 1.000157255080938112e+00 1.369753958344258743e-04 1.000000000000000000e+00 1.000406382496869861e+00
3.801900950475237562e-03 1.000193142858208262e+00 1.332850449203829197e-04 1.000000000000000000e+00 1.000385782034542981e+00 1.000237328861950159e+00 1.987666111109352262e-04 1.000000000000000000e+00 1.000614456989642020e+00 1.000234298243186659e+00 1.962277163604534498e-04 1.000000000000000000e+00 1.000606608110268470e+00 1.000214194386598310e+00 1.654022167293088834e-04 1.000000000000000000e+00 1.000487088805324332e+00
4.277138569284642637e-03 1.000248343948537011e+00 1.726607302606904769e-04 1.000000000000000000e+00 1.000495159996227068e+00 1.000307173767409852e+00 2.406291271458994841e-04 1.000000000000000000e+00 1.000782232843312469e+00 1.000303250716511716e+00 2.375548653659873466e-04 1.000000000000000000e+00 1.000772238366858247e+00 1.000276583030340394e+00 2.056318819454539069e-04 1.000000000000000000e+00 1.000650182086468831e+00
