# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 6.762849413886383530e-04 5.085339439641908084e-04 0.000000000000000000e+00 1.653140967838893872e-03
2.004008016032063962e-03 6.747820859633303636e-03 1.492979271240258950e-03 4.207995190862639026e-03 1.006913134956417127e-02
4.008016032064127925e-03 1.130147279831680146e-02 1.491995629214410259e-03 9.768560264502554324e-03 1.457769762548842725e-02
6.012024048096191453e-03 1.728283739104298153e-02 2.341755477100385292e-03 1.337541328524195945e-02 2.119026149684400534e-02
8.016032064128255849e-03 2.312894499549143432e-02 3.139817116774764379e-03 1.638112413585813068e-02 2.765253982566876975e-02
1.002004008016032024e-02 2.909528103396452625e-02 3.315967996224268403e-03 2.479711451758340873e-02 3.546738803727081391e-02
1.202404809619238291e-02 3.576795912233243779e-02 2.616004686734176368e-03 3.110910730387736814e-02 3.967538322813345120e-02
1.402805611222444730e-02 4.134355275022542908e-02 2.819967146687495096e-03 3.681995792004809365e-02 4.493537721671175128e-02
1.603206412825651170e-02 4.582206191764352787e-02 3.052276799987362413e-03 4.057709648331830204e-02 4.959422903516681747e-02
1.803607214428857436e-02 5.205891193267207784e-02 3.026080660932543940e-03 4.703937481214306993e-02 5.590622182146077340e-02
2.004008016032064049e-02 5.740907724676887203e-02 2.901717676260215633e-03 5.199879771565975306e-02 6.101593026750826848e-02
2.204408817635270315e-02 6.256387135557558987e-02 3.112797802536219818e-03 5.725879170423805314e-02 6.612563871355575662e-02
2.404809619238476581e-02 6.720769461977757486e-02 2.699121649611497479e-03 6.266907123534716517e-02 7.138563270213404977e-02
2.605210420841683194e-02 7.219717463180042039e-02 2.314787674119645963e-03 6.853020739404869222e-02 7.664562669071235679e-02
2.805611222444889460e-02 7.771265404268110077e-02 3.186230720241540852e-03 7.454162909528103120e-02 8.370904718966035163e-02
3.006012024048096073e-02 8.268710550045085816e-02 3.369749070945871582e-03 7.769762548842801264e-02 8.881875563570784671e-02
3.206412825651302340e-02 8.772167117523295421e-02 3.330139082033761484e-03 8.325819056206792967e-02 9.317703636910129594e-02
3.406813627254508953e-02 9.149383829275622992e-02 3.751603978848460676e-03 8.611361587015328722e-02 9.828674481514877714e-02
3.607214428857714872e-02 9.670874661857530030e-02 4.391450530888810211e-03 9.092275323113915841e-02 1.048993086865043639e-01
3.807615230460921485e-02 1.009618274721971742e-01 4.515974276666232315e-03 9.498046287947099764e-02 1.085061617072437673e-01
4.008016032064128098e-02 1.045386233844304291e-01 4.738262683493660136e-03 9.708446047490230935e-02 1.121130147279831707e-01
4.208416833667334017e-02 1.090321611061015883e-01 4.517199429094872869e-03 1.039975954313195061e-01 1.166215810039074180e-01
4.408817635270540630e-02 1.127442140066125670e-01 4.440829707110650719e-03 1.070033062819356756e-01 1.215810039074241011e-01
4.609218436873747243e-02 1.164412383528704575e-01 4.793048681774544212e-03 1.112113014727983129e-01 1.260895701833483484e-01
4.809619238476953162e-02 1.206492335437330671e-01 4.901613137524307891e-03 1.139164412383528724e-01 1.296964232040877796e-01
5.010020040080159776e-02 1.251878569281635323e-01 4.982594718389442463e-03 1.205290051097084453e-01 1.348061316501352469e-01
5.210420841683366389e-02 1.287796813946498475e-01 5.150410742416672641e-03 1.238352870453862387e-01 1.390141268409978981e-01
