# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
0.000000000000000000e+00 7.437051859262964679e-03 2.529384327166818783e-03 3.168250792062698041e-03 1.183925295981324080e-02 1.073870268467567134e-02 3.679437062208388860e-03 5.085876271469068170e-03 1.642487910621977590e-02 1.249791562447890615e-02 4.258244004014579039e-03 4.752376188094047278e-03 1.875937968984492388e-02 7.111889277972319352e-03 2.625730790277615214e-03 3.001500750375187595e-03 1.167250291812572949e-02 3.018175754543938293e-03 1.133287066036097997e-03 1.417375354343838574e-03 4.919126229781557724e-03
2.004008016032063962e-03 7.709688177422044375e-02 6.872150373445977747e-03 6.569951642487910359e-02 8.721027180256794853e-02 9.563948640987160466e-02 6.394755395027005261e-03 8.479239619809904316e-02 1.092212773053193309e-01 9.490578622644654794e-02 5.878979586850475655e-03 8.629314657328664151e-02 1.079706519926629943e-01 5.075871268967816624e-02 3.664481555140058737e-03 4.510588627647156568e-02 5.736201434050358650e-02 2.128594357298890100e-02 2.063690003539245255e-03 1.825912956478238994e-02 2.492913123228280778e-02
4.008016032064127925e-03 1.188761047190261683e-01 7.498451057860591913e-03 1.052192763048190732e-01 1.316491579122894828e-01 1.357518104409586035e-01 6.221097627156474408e-03 1.266466566616641642e-01 1.465732866433216708e-01 1.334834083708520969e-01 6.373582732313975985e-03 1.239786559946639971e-01 1.443221610805402733e-01 7.054360513590127169e-02 3.934108469686620722e-03 6.361514090378522779e-02 7.603801900950475645e-02 3.223278305819576167e-02 2.709418798580177576e-03 2.751375687843922099e-02 3.510088377522094238e-02
6.012024048096191453e-03 1.536184759046189952e-01 9.013395055390966554e-03 1.421544105386026435e-01 1.696681674170418541e-01 1.677922294480573562e-01 7.492928477130372800e-03 1.572452893113223393e-01 1.832582958145739516e-01 1.625229281307320472e-01 7.130397321779204101e-03 1.524929131232282686e-01 1.764215441053860189e-01 8.589294647323664211e-02 3.295539422790198358e-03 8.045689511422378370e-02 9.146239786559946794e-02 4.089544772386193017e-02 2.456735217301578896e-03 3.668500917125229466e-02 4.402201100550275081e-02
8.016032064128255849e-03 1.843671835917959079e-01 6.344291263474157588e-03 1.726696681674170508e-01 1.924295481073870218e-01 1.944555611138902851e-01 5.124824553601124190e-03 1.846756711689177821e-01 2.014340503585125841e-01 1.879689844922461384e-01 5.379239783953189760e-03 1.780890445222611251e-01 1.947640486910121593e-01 9.904952476238119974e-02 3.289247600641248027e-03 9.304652326163082021e-02 1.037185259296314888e-01 4.864932466233116981e-02 2.198714858122685373e-03 4.427213606803401952e-02 5.085876271469067650e-02
1.002004008016032024e-02 2.082056058089165052e-01 6.139154469953370455e-03 1.946806736701684193e-01 2.196931799232949845e-01 2.156828414207103695e-01 5.232265845007546406e-03 2.063531765882941349e-01 2.248624312156078109e-01 2.058195764548941542e-01 5.070298188367255814e-03 1.950141737535434350e-01 2.145239286309821580e-01 1.097048524262131119e-01 2.870281211376612962e-03 1.057195264298816106e-01 1.131399032849758207e-01 5.516091379022845104e-02 2.388137721316660293e-03 5.144238786059696783e-02 5.861263965315991614e-02
1.202404809619238291e-02 2.302234450558612588e-01 8.035816689854997225e-03 2.174420543605135869e-01 2.458729364682341045e-01 2.346756711689177433e-01 6.846916921435441603e-03 2.257795564448891179e-01 2.487910621977655612e-01 2.224695681173919914e-01 5.658093310055004564e-03 2.131065532766383275e-01 2.323661830915457749e-01 1.197515424378855914e-01 3.294326332339974316e-03 1.148907787226946808e-01 1.271469067867266878e-01 6.169751542437885983e-02 2.694703374694082301e-03 5.611138902784725685e-02 6.594964148741036536e-02
1.402805611222444730e-02 2.512089378022345221e-01 8.346918144659251637e-03 2.392863098215774476e-01 2.668834417208604259e-01 2.536539311740038660e-01 6.658389956728018658e-03 2.422044355511088765e-01 2.673836918459229772e-01 2.386943471735867850e-01 5.740471602613436176e-03 2.303651825912956530e-01 2.485409371352342855e-01 1.300817075204268869e-01 2.897518893649760931e-03 1.271469067867266878e-01 1.369017842254460493e-01 6.924295481073870773e-02 2.629223053192281719e-03 6.536601634150408791e-02 7.378689344672335892e-02
1.603206412825651170e-02 2.672669668167416690e-01 8.009575764812570595e-03 2.524595631148907615e-01 2.788894447223611572e-01 2.677088544272135939e-01 7.229287430537424328e-03 2.535434383858595764e-01 2.785559446389861415e-01 2.514590628647656589e-01 6.403614120167553173e-03 2.401200600300150145e-01 2.605469401367350168e-01 1.384275471068867613e-01 3.099050758452247083e-03 1.344005336001334039e-01 1.434050358512589662e-01 7.517091879272970456e-02 3.493443221085325984e-03 6.870101717525430030e-02 8.045689511422378370e-02
1.803607214428857436e-02 2.835834583958646293e-01 5.818005495689493149e-03 2.764715691178922796e-01 2.946473236618309399e-01 2.816408204102051061e-01 4.980776572640668517e-03 2.753876938469234648e-01 2.909788227447057118e-01 2.639319659829915121e-01 4.244959580913546839e-03 2.585459396364849227e-01 2.704685676171418862e-01 1.469901617475404543e-01 2.912880299516321103e-03 1.417375354343838600e-01 1.514924128731032216e-01 8.144905786226445954e-02 3.681070904851859935e-03 7.412039353009838849e-02 8.637652159413039543e-02
2.004008016032064049e-02 2.970318492579623326e-01 4.707876698303087824e-03 2.917291979322994555e-01 3.058195764548941042e-01 2.936301484075370949e-01 4.416012109848682643e-03 2.878105719526429795e-01 3.002334500583624943e-01 2.749708187427046258e-01 3.483439900755573929e-03 2.704685676171418862e-01 2.814740703685175705e-01 1.542604635651159406e-01 2.789713745059858516e-03 1.500750375187593910e-01 1.583291645822911542e-01 8.766049691512420305e-02 3.510514138623998734e-03 8.104052026013006116e-02 9.304652326163082021e-02
2.204408817635270315e-02 3.082374520593630374e-01 4.448977361408306720e-03 3.014840753710188448e-01 3.165749541437385406e-01 3.031765882941470647e-01 4.072773762072138051e-03 2.983158245789561680e-01 3.117392029348007298e-01 2.837251959312989680e-01 3.950075847173522246e-03 2.783891945972986615e-01 2.927296981824245581e-01 1.603968650992163014e-01 2.856443302366361292e-03 1.564949141237285402e-01 1.657495414373853504e-01 9.262964815741205060e-02 3.968335695945858152e-03 8.545939636484908841e-02 9.996664999166249288e-02
2.404809619238476581e-02 3.208520927130231737e-01 4.489115838543323439e-03 3.149074537268634066e-01 3.299149574787393902e-01 3.133650158412539244e-01 4.458225384883184907e-03 3.079873269968317340e-01 3.224112056028013984e-01 2.930798732699683162e-01 4.039139004611122866e-03 2.886443221610805465e-01 3.026513256628314275e-01 1.673169918292479463e-01 3.133570048822903638e-03 1.644155411038852876e-01 1.738369184592296057e-01 9.857428714357177602e-02 3.592302537715078969e-03 9.371352342838085159e-02 1.063031515757878881e-01
2.605210420841683194e-02 3.310655327663831748e-01 5.268193051766162545e-03 3.214940803735201191e-01 3.409204602301150744e-01 3.226863431715857877e-01 5.380376855470443698e-03 3.139069534767383596e-01 3.328330832082708191e-01 3.015174253793563852e-01 4.486041013776029436e-03 2.942304485576121564e-01 3.102384525596131315e-01 1.732699683174921124e-01 3.463988804955714807e-03 1.694180423545105785e-01 1.798399199599799991e-01 1.038686009671502541e-01 3.845170632939150495e-03 9.854927463731866233e-02 1.124729031182257755e-01
2.805611222444889460e-02 3.410997582959817143e-01 5.399589237573428589e-03 3.335834583958646182e-01 3.510088377522094238e-01 3.306986826746706742e-01 5.252255744436724882e-03 3.229948307487076620e-01 3.409204602301150744e-01 3.091795897948974581e-01 4.097617213059751712e-03 3.030682007670502109e-01 3.171585792896448042e-01 1.789894947473736897e-01 3.467398618676665462e-03 1.751709187927296962e-01 1.858429214607303648e-01 1.089378022344505703e-01 3.849940331650527833e-03 1.035517758879439670e-01 1.166416541604135410e-01
3.006012024048096073e-02 3.500917125229280891e-01 6.032342649280352138e-03 3.423378355844589049e-01 3.594297148574286949e-01 3.385442721360680252e-01 5.898480740300136513e-03 3.293313323328330711e-01 3.490078372519593297e-01 3.161580790395197016e-01 4.800548064818168162e-03 3.100717025179256514e-01 3.243288310822077802e-01 1.841754210438552586e-01 3.381779646054143898e-03 1.794230448557612156e-01 1.908454227113556834e-01 1.141654160413540231e-01 3.883710137694691006e-03 1.087210271802567935e-01 1.223945305986326448e-01
3.206412825651302340e-02 3.572869768217441511e-01 5.635812225300271955e-03 3.498415874603968412e-01 3.676004669001167180e-01 3.448557612139403483e-01 5.922185892041106729e-03 3.359179589794897280e-01 3.562614640653660181e-01 3.218442554610638773e-01 4.454255379571793114e-03 3.164082041020510050e-01 3.304152076038018859e-01 1.883441720860429824e-01 3.434403224733815693e-03 1.845089211272302743e-01 1.950141737535434350e-01 1.184925796231449252e-01 3.992227240315005844e-03 1.122227780556945137e-01 1.269801567450391799e-01
3.406813627254508953e-02 3.660080040020010084e-01 5.779332487450103591e-03 3.551775887943972032e-01 3.770218442554610916e-01 3.520927130231782942e-01 6.128829673153282816e-03 3.409204602301150744e-01 3.639319659829914899e-01 3.282391195597799127e-01 4.026668253771816669e-03 3.214940803735201191e-01 3.359179589794897280e-01 1.936134734033683469e-01 3.797510256146933126e-03 1.868434217108554396e-01 2.001000500250124936e-01 1.236701684175421090e-01 4.523976572133412560e-03 1.153910288477572182e-01 1.333166583291645890e-01
3.607214428857714872e-02 3.739536434884108695e-01 6.731808847961837615e-03 3.625979656494914272e-01 3.852759713189928270e-01 3.588210772052692898e-01 6.763050526035169902e-03 3.464232116058029165e-01 3.700183425045856511e-01 3.345643596681440735e-01 4.728693764318355093e-03 3.272469568117392091e-01 3.425879606469901528e-01 1.989077872269467695e-01 4.095750695262355932e-03 1.926796731699182974e-01 2.067700516925129184e-01 1.285059196264798920e-01 4.284381026034041542e-03 1.213940303485075839e-01 1.382357845589461398e-01
3.807615230460921485e-02 3.809404702351175120e-01 6.773623965222600081e-03 3.694347173586793320e-01 3.908620977155244369e-01 3.648157412039352843e-01 6.836263642864228406e-03 3.512589628147407272e-01 3.761047190261797568e-01 3.400366850091712245e-01 4.598674720928119797e-03 3.319159579789894843e-01 3.467567116891779322e-01 2.031515757878939454e-01 3.522572430129357769e-03 1.975987993996998482e-01 2.091045522761380560e-01 1.326663331665833001e-01 4.225855344060603508e-03 1.261464065366016407e-01 1.419042854760713679e-01
4.008016032064128098e-02 3.875937968984492499e-01 6.528620835373074270e-03 3.766883441720860204e-01 3.971985992996498460e-01 3.698932799733199439e-01 6.339161347292870084e-03 3.585125896281474156e-01 3.804402201100550163e-01 3.450308487577121719e-01 4.611633617885568630e-03 3.374187093546773264e-01 3.520093380023345264e-01 2.073620143405035809e-01 3.512345312830911399e-03 2.021844255461063833e-01 2.135234283808570832e-01 1.362431215607803892e-01 4.405239766116454160e-03 1.294814073703518531e-01 1.458229114557278716e-01
4.208416833667334017e-02 3.941303985325996240e-01 6.669355479787641115e-03 3.824412206103051659e-01 4.056194764048691170e-01 3.751459062864765381e-01 6.367608584095636737e-03 3.634317158579289386e-01 3.868600967150241932e-01 3.504502251125562462e-01 4.887234355331712687e-03 3.419209604802401214e-01 3.583458395864598800e-01 2.116474904118725853e-01 3.467288353663383095e-03 2.051859262964815800e-01 2.165249291312322799e-01 1.407453726863431565e-01 4.482359295650272489e-03 1.328997832249458055e-01 1.501584125396031311e-01
4.408817635270540630e-02 4.005752876438218868e-01 6.789844861668421251e-03 3.878605969651492402e-01 4.114557278639319748e-01 3.804885241551971276e-01 6.258040955202380171e-03 3.688510922127730685e-01 3.907787226946806691e-01 3.556028014007003857e-01 4.581296180590413610e-03 3.473403368350841958e-01 3.639319659829914899e-01 2.159162914790728749e-01 3.554172600441191533e-03 2.102718025679506386e-01 2.221944305486076299e-01 1.455977988994497374e-01 4.603184659742039393e-03 1.388194097048524311e-01 1.559112889778222488e-01
