# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 7.844875067647937017e-02 6.168829015968775586e-03 7.068453616373847337e-02 8.978654093007154557e-02 2.743525313764393764e-02 4.050347634352412240e-02 0.000000000000000000e+00 1.099579797887035998e-01 2.555421895341937824e-02 7.666265686025812431e-02 0.000000000000000000e+00 2.555421895341937755e-01 4.595122626995446491e-01 4.212322254806974975e-01 0.000000000000000000e+00 9.962615186207749440e-01
1.497487437185929596e-02 9.601173512445476677e-02 6.397488873876257601e-03 8.433384002204333263e-02 1.046405206616739664e-01 1.139429298447323519e-01 7.687693487740235310e-02 0.000000000000000000e+00 1.960866534112217507e-01 1.084761675261603775e-01 1.899325096769131360e-01 0.000000000000000000e+00 5.728862581425328004e-01 9.823681978965286277e-01 3.981474786859658943e-01 0.000000000000000000e+00 1.609400728415492976e+00
1.994974874371859344e-02 1.096579298118213613e-01 5.319034565367560322e-03 9.971186630162248710e-02 1.153294248614504247e-01 2.185908147691789927e-01 4.660136416230954010e-02 1.552327197244426638e-01 3.034887974780843822e-01 2.677827103405271969e-01 3.095857749207748255e-01 0.000000000000000000e+00 7.663799118765189933e-01 1.448076554303393104e+00 3.798942721999061245e-01 9.425247411936823472e-01 2.144067413358895280e+00
2.492462311557788746e-02 1.243590314812035719e-01 5.727798999624355604e-03 1.131135055102169551e-01 1.341590002909329726e-01 2.224158937127466429e-01 3.517011347385226583e-02 1.695699266796216742e-01 2.681135954876788241e-01 4.085352114880273500e-01 3.349605661600413842e-01 0.000000000000000000e+00 7.168944251794981959e-01 1.383766813090450132e+00 2.882578561487046387e-01 1.077995196491955410e+00 1.894151045905186015e+00
2.989949748743718494e-02 1.364419161550730064e-01 5.478120903163928579e-03 1.267543791780152140e-01 1.425454072820224738e-01 2.158807591235289425e-01 3.131314373860666356e-02 1.553757387964570802e-01 2.626083291118505580e-01 5.519688143371690447e-01 3.310862799664140987e-01 0.000000000000000000e+00 8.422961310022482051e-01 1.459714072053466705e+00 2.419926829772563459e-01 1.057199269219061488e+00 1.855257807221058819e+00
3.487437185929648242e-02 1.467922739382938047e-01 4.761789543597724772e-03 1.381317596357727606e-01 1.545069905160940948e-01 2.343474080109845537e-01 3.687973655118088889e-02 1.677689662461361308e-01 3.063028242077718843e-01 8.878854880215255596e-01 3.331525263119579083e-01 0.000000000000000000e+00 1.389384048279745265e+00 1.554647198375634698e+00 2.151291592787904217e-01 1.130084861901870186e+00 1.874033734094550763e+00
3.984924623115577991e-02 1.566961213480050630e-01 4.594645833598380927e-03 1.495319305598749871e-01 1.636183715500870717e-01 2.610973870628224835e-01 4.069556518902105874e-02 1.827801388054944853e-01 3.265420613299097607e-01 1.087855133543700559e+00 2.242871506070858167e-01 8.002300624510501059e-01 1.587581484561726430e+00 1.652764196801196572e+00 2.457888391759345814e-01 1.291292932980091068e+00 2.141367076566251804e+00
4.482412060301507739e-02 1.655792021642983058e-01 4.989149012008830576e-03 1.568977387910813481e-01 1.722903935711163903e-01 2.647011590871927167e-01 3.384060423016237856e-02 2.055988446588916108e-01 3.409471125320544527e-01 1.172722115919798691e+00 3.244782317142748673e-01 7.290411915808456822e-01 1.742370781470851338e+00 1.704003836459914156e+00 2.856756012537049472e-01 1.336106595088144111e+00 2.408700419037952845e+00
4.979899497487437487e-02 1.735245922386008943e-01 4.263512601822664304e-03 1.664122379778562311e-01 1.807714789444632431e-01 2.706056446925804160e-01 4.289001596520635590e-02 2.101135867174218630e-01 3.787876552906569438e-01 1.110791756609966985e+00 1.957945896933901697e-01 8.099549561172848522e-01 1.402883135837357909e+00 1.774942970971749912e+00 3.467090140720850422e-01 1.484396452614742845e+00 2.676033761509653885e+00
5.477386934673367236e-02 1.812018629942323822e-01 5.186743694734459800e-03 1.720654227390086832e-01 1.889179345688264400e-01 2.815660255290898251e-01 5.421589595680265106e-02 2.311037432108878631e-01 4.166281980492594905e-01 1.131577952615268945e+00 2.314090365241636138e-01 8.908687206537241332e-01 1.543029887046135196e+00 1.770832240782292732e+00 2.501739331340178119e-01 1.471220803506519736e+00 2.403249176815918986e+00
5.974874371859296984e-02 1.893584148938932676e-01 5.120629911438541633e-03 1.804903001281551456e-01 1.964514472961257363e-01 2.912640250605625925e-01 4.940891133760447890e-02 2.520938997043537522e-01 4.157118548012463388e-01 1.134593716260991147e+00 1.730318246063882459e-01 8.415883191274564634e-01 1.424697502137343141e+00 1.804194726303385066e+00 2.507568980435057049e-01 1.484651217434547643e+00 2.427061404468239925e+00
6.472361809045226733e-02 1.964138266546112677e-01 4.763617844410394410e-03 1.884933524858307952e-01 2.020019775535927820e-01 2.909786234808267591e-01 4.272702201644398845e-02 2.542274208581628003e-01 4.019688467909964813e-01 1.182743635899470735e+00 1.868250872894358650e-01 8.788231249047934179e-01 1.488737313422655806e+00 1.784648879986545422e+00 1.185397312133219250e-01 1.555423996015382615e+00 2.008043744286322596e+00
6.969849246231155093e-02 2.026190350675375618e-01 3.981482758559629770e-03 1.969185605145353513e-01 2.079517724859500094e-01 2.909687671871853398e-01 3.735836869091384987e-02 2.499150248262167195e-01 3.854952253666886763e-01 1.227765074744191498e+00 1.866755380268349807e-01 8.780905412669421928e-01 1.580632481533381650e+00 1.853654487540677964e+00 1.267934927460331040e-01 1.614367806433006480e+00 2.028464708937424366e+00
7.467336683417084842e-02 2.081768318166617449e-01 5.168635695209933441e-03 2.016377769077858928e-01 2.165931314519439210e-01 2.906882092135304463e-01 1.960446659495906907e-02 2.540130151672558290e-01 3.279293924875713029e-01 1.254451361176448065e+00 1.725150717342750495e-01 9.273497631197546998e-01 1.487481769267796627e+00 1.872011701636052461e+00 1.295571711138078785e-01 1.673411776190330436e+00 2.006350236934079767e+00
7.964824120603014590e-02 2.141412067071048198e-01 6.669860492869261574e-03 2.049597954122261978e-01 2.258835019509881914e-01 3.016533864866227654e-01 2.127266767593431751e-02 2.644062868439360225e-01 3.360545256782175860e-01 1.273465215764415071e+00 1.831138121050611411e-01 9.567440320789337704e-01 1.586580487408786988e+00 1.895332517282859897e+00 1.172102781442403846e-01 1.712013526535944186e+00 2.073107850869046143e+00
8.462311557788944338e-02 2.206518693156405697e-01 6.751217951627933901e-03 2.119072341396683323e-01 2.324619019895158012e-01 3.072094196388782117e-01 2.490811404813892890e-02 2.627777709611948675e-01 3.323905098797718671e-01 1.331784783314541531e+00 2.037174420358757732e-01 1.016502807584179546e+00 1.685679205549777349e+00 1.878067966928448573e+00 8.545598025506499773e-02 1.750282435495945643e+00 2.033644417150546335e+00
8.959798994974874087e-02 2.254309267770312764e-01 7.094393280213478342e-03 2.150526677892501959e-01 2.371076012296489122e-01 3.069070094131066129e-01 2.066842509139308823e-02 2.726047989437906383e-01 3.407559986797382701e-01 1.351794085586744076e+00 2.034850443854867297e-01 1.076261583089425322e+00 1.784777923690768153e+00 1.912923949952576974e+00 9.806078282346805675e-02 1.784212701379184418e+00 2.101307571016416631e+00
9.457286432160803835e-02 2.302112671702289393e-01 6.860214694367481811e-03 2.217738110591172263e-01 2.401158937487482825e-01 3.172720732415676426e-01 2.271316788016232088e-02 2.768789217862759888e-01 3.596762700590395712e-01 1.363284753988069031e+00 2.118847100062693500e-01 1.099447400982686007e+00 1.883876641831758514e+00 1.932517402539021933e+00 9.114837042846500592e-02 1.825520446835803945e+00 2.119354618297578874e+00
9.954773869346733584e-02 2.345585582529889912e-01 6.537365542236006806e-03 2.249401417295507632e-01 2.463336505621526451e-01 3.176240543946901584e-01 1.608439284761636195e-02 2.764878212522914325e-01 3.386270410809784082e-01 1.376963037016721625e+00 2.344015953170109634e-01 1.099956821286678155e+00 1.982975359972748652e+00 1.925222914583269329e+00 8.560770600927973539e-02 1.817098516890969240e+00 2.098194435995591522e+00
1.045226130653266333e-01 2.391508550155073132e-01 7.088816821444719057e-03 2.290368178249753417e-01 2.528039580216442928e-01 3.209011263999156371e-01 1.567469812593547812e-02 2.903052338237083196e-01 3.469811209056069545e-01 1.412086464380307271e+00 2.610039354334273698e-01 1.154926899685154273e+00 2.082074078113739457e+00 1.923457908927569404e+00 1.028006269306510623e-01 1.754362501937092533e+00 2.085990208231737864e+00
1.094974874371859308e-01 2.431803318822762239e-01 6.362041185389108282e-03 2.339438675838645953e-01 2.537567146381067840e-01 3.206713588959420047e-01 1.166347554127415524e-02 2.944654861732118323e-01 3.331496673575546352e-01 1.444662305234061916e+00 2.849659103454014741e-01 1.199721313381626020e+00 2.181172796254729818e+00 1.931315553000760632e+00 9.408936962122993464e-02 1.754279962379667657e+00 2.080320125517843177e+00
1.144723618090452283e-01 2.470899373363971974e-01 6.328459698067505530e-03 2.369834336526104035e-01 2.581788913733407131e-01 3.220903048853047124e-01 1.329803719518427019e-02 3.031439518471356065e-01 3.482858844609955651e-01 1.443748673030308183e+00 2.135865142630925806e-01 1.218856393669850213e+00 1.919472907588836597e+00 1.939527324153674126e+00 1.034825479852804209e-01 1.757533489611933453e+00 2.050455737880589435e+00
1.194472361809045258e-01 2.508925855693152629e-01 5.024093425045110528e-03 2.435460738480051401e-01 2.594899123752150150e-01 3.227176058594267705e-01 1.434862434025061494e-02 3.028517513036971254e-01 3.563646899130694101e-01 1.433734583085034320e+00 2.041512800761634272e-01 1.176254238989738798e+00 1.942747659627433121e+00 1.955332142427962605e+00 1.057614178812706363e-01 1.791377548794983232e+00 2.110455742482775676e+00
1.244221105527638233e-01 2.550098083962941131e-01 5.400176630242595546e-03 2.487739118404829752e-01 2.648690212984172176e-01 3.271801523906204823e-01 1.847465367224987443e-02 2.953714941122926874e-01 3.712069719077660812e-01 1.466412124747602075e+00 2.202932938545784924e-01 1.170250239175157692e+00 2.023661424163872180e+00 1.964017013309277360e+00 1.019663621413935267e-01 1.819707939387221751e+00 2.141244528917344514e+00
1.293969849246231207e-01 2.590313483898086799e-01 5.271685905840751279e-03 2.518303078806948259e-01 2.691801628584872264e-01 3.280083256438529049e-01 1.563196275802540211e-02 3.037419286564253529e-01 3.655361997925621886e-01 1.475015298327114976e+00 2.167705511855112233e-01 1.194087132497184678e+00 1.973725584949872491e+00 1.978899986644526710e+00 1.165251596624803099e-01 1.795351701645164777e+00 2.171867039657698673e+00
1.343718592964824043e-01 2.627162738555477439e-01 5.140594746189025566e-03 2.557152707098912514e-01 2.712547936055605402e-01 3.340478717156965538e-01 1.109830783257644178e-02 3.154197736804976171e-01 3.549190050643396543e-01 1.462484841973586080e+00 1.906624899424095854e-01 1.216687006096772494e+00 1.950777969945006962e+00 1.976319224754530257e+00 9.402428437850085530e-02 1.819445527207197433e+00 2.138189910057896270e+00
