# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 7.611230195406493149e-02 5.619266680566652877e-03 6.899034591299128827e-02 8.638302125678261334e-02 1.536063430063961399e-01 2.823896239273406342e-02 9.238103773836744970e-02 1.705608992187745698e-01 2.724841031289521598e-01 7.226050936013077297e-03 2.511249912065086631e-01 2.762472666492610807e-01 4.262821385745483305e-01 2.606480392808482524e-02 3.855468924657199925e-01 4.537111924589053435e-01
1.497487437185929596e-02 9.316633650950537082e-02 5.857448722173430773e-03 8.240929466456213548e-02 1.010298068885295275e-01 1.552773335596179527e-01 3.823117305857173798e-02 1.112572299432731671e-01 2.088864275399106851e-01 3.298883822144177413e-01 1.462891437856083873e-02 2.905852930833813796e-01 3.379966612131132808e-01 5.051766354289501937e-01 2.257611207630389610e-02 4.763987264893080331e-01 5.551434466579038274e-01
1.994974874371859344e-02 1.064907672565021252e-01 4.883808949279907184e-03 9.732810139357821189e-02 1.116843466451579725e-01 1.593417817866895070e-01 1.748961320872493772e-02 1.304753617415652100e-01 1.887623320163718810e-01 3.698454721038457738e-01 2.381178658571650800e-02 3.275846211553816167e-01 3.902911805579926119e-01 5.778800176376114317e-01 2.598138514985679978e-02 5.291126961177721189e-01 6.142606449993018858e-01
2.492462311557788746e-02 1.206686539474453729e-01 5.243649055380677874e-03 1.103311504512386465e-01 1.295847649316777261e-01 1.696853004886740290e-01 1.626307178980635620e-02 1.435366518073121489e-01 1.901153576618071495e-01 3.944150618958249810e-01 3.443239342685188581e-02 3.541420962647234827e-01 4.362633467047746239e-01 6.300562016459869685e-01 2.537705470466942309e-02 5.965705480405706362e-01 6.702604568205959845e-01
2.989949748743718494e-02 1.323851312019067861e-01 5.015531239833244566e-03 1.234961946460117060e-01 1.379578648725347523e-01 1.730097550205345891e-01 1.682893805506736201e-02 1.374937808998892563e-01 1.962117711899050709e-01 4.312909074220417915e-01 3.180404694185735154e-02 3.923207086090982343e-01 4.778106790479877408e-01 6.862968968814447956e-01 2.666158611847907131e-02 6.301699048159847827e-01 7.228536531064057025e-01
3.487437185929648242e-02 1.424660647141428871e-01 4.355630002963922602e-03 1.345191176148987366e-01 1.495000791325146461e-01 1.872348801126029749e-01 1.929796732351640384e-02 1.484547801234586129e-01 2.207173386555169314e-01 4.605284088428738265e-01 2.277838010357986082e-02 4.324104218927597443e-01 5.159705291025129537e-01 7.399167127499259866e-01 2.589200503858085298e-02 6.781116320613204129e-01 7.723688185837257469e-01
3.984924623115577991e-02 1.520926455964572710e-01 4.206874649933679995e-03 1.455251230884601621e-01 1.584100643155219312e-01 2.054785323962911581e-01 2.090403148689448307e-02 1.610794704647340869e-01 2.355085773319591236e-01 4.889578437899199659e-01 2.318478662474920265e-02 4.539559010129920469e-01 5.274254365195117922e-01 7.901148415581651374e-01 2.592952886895276074e-02 7.417307768619149089e-01 8.345336496526042369e-01
4.482412060301507739e-02 1.607481934139290969e-01 4.568319144168945384e-03 1.527792029369915983e-01 1.668805521544139692e-01 2.124098806626123770e-01 1.720044959403999735e-02 1.787224482027332528e-01 2.480568149689730828e-01 5.142519790763642185e-01 2.888111977940740691e-02 4.562715026999119572e-01 5.541456822492858425e-01 8.314483209576760681e-01 2.977465557201265309e-02 7.801707813198567321e-01 8.926356507086794512e-01
4.979899497487437487e-02 1.685213509893119799e-01 3.907312504242510184e-03 1.619913219778908176e-01 1.751445783766032716e-01 2.188825444333148407e-01 2.117554183375795762e-02 1.840035601887168026e-01 2.686517627476825432e-01 5.340061952734945772e-01 2.310414462261579926e-02 4.904841183012544903e-01 5.646113265756752542e-01 8.722232244781210619e-01 3.397046124686723539e-02 8.367038430658370052e-01 9.473977574722637351e-01
5.477386934673367236e-02 1.760172584278390517e-01 4.756347387984654999e-03 1.676174773940269647e-01 1.830769689851411419e-01 2.275412926156306914e-01 2.606829162922008614e-02 2.000683365225699450e-01 2.884196291433573367e-01 5.555946098211468342e-01 2.537104790868078760e-02 5.232794323810808779e-01 5.965138946322818825e-01 9.063266707025595670e-01 2.987956850593404337e-02 8.613133449859773361e-01 9.716859009279732451e-01
5.974874371859296984e-02 1.839358826467551444e-01 4.697779033974779604e-03 1.757855053155555347e-01 1.904279396159786197e-01 2.366390402016207428e-01 2.401408662544090786e-02 2.157933896079934355e-01 2.935926812947616815e-01 5.763602564557820385e-01 2.376916205131748838e-02 5.267604774346049679e-01 6.097755286015000831e-01 9.402301526142402555e-01 3.184799198665832359e-02 8.887794877156044437e-01 1.009134509881439490e+00
6.472361809045226733e-02 1.908279773717613259e-01 4.374002097594101302e-03 1.835477608610016909e-01 1.959500959394748776e-01 2.401780424646113299e-01 2.208461025028830849e-02 2.194271643181960607e-01 2.950606134486600252e-01 5.999903034143552194e-01 2.549377920934974354e-02 5.489649498314596032e-01 6.357614434478647825e-01 9.682231937090659546e-01 1.943399758064017976e-02 9.272345216762964970e-01 1.001118028455658893e+00
6.969849246231155093e-02 1.969248610950624645e-01 3.656336148980837697e-03 1.916849508364657784e-01 2.018161658664374414e-01 2.432476692095812132e-01 2.044004841914215734e-02 2.185839656158229949e-01 2.929009528459027289e-01 6.228404554817561500e-01 2.699238102837852107e-02 5.611493958886427658e-01 6.622998405968496538e-01 1.004900100235280425e+00 2.102538772960665936e-02 9.622439110976954701e-01 1.031745167468254953e+00
