# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
1.517393738031387329e-01 4.890005290508270264e-01 9.997407793998718262e-01 9.850281476974487305e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.631121397018432617e-01 9.037606716156005859e-01 6.553215384483337402e-01 9.711604118347167969e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
6.624360680580139160e-01 2.812165319919586182e-01 8.637775182723999023e-01 8.974772691726684570e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
3.296198844909667969e-01 8.116618990898132324e-01 8.967407345771789551e-01 9.757584333419799805e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
7.364984750747680664e-01 3.819067478179931641e-01 8.946326375007629395e-01 5.894645452499389648e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.039453834295272827e-01 7.601948976516723633e-01 5.552281141281127930e-01 9.937269687652587891e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.573246717453002930e-01 2.456108182668685913e-01 2.327275276184082031e-01 9.940636754035949707e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.232030034065246582e-01 2.364699393510818481e-01 8.299320340156555176e-01 9.988105297088623047e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.326263844966888428e-01 6.510084867477416992e-01 9.981714487075805664e-01 9.981574416160583496e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.945152699947357178e-01 7.303435802459716797e-01 5.906850695610046387e-01 9.978821873664855957e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
