# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000003593336142860e+00 1.078000842871240447e-05 1.000000000000000000e+00 1.000035933361429041e+00 1.000003644158195870e+00 1.093247458761048563e-05 1.000000000000000000e+00 1.000036441581958702e+00 1.000003610361358763e+00 1.083108407609056877e-05 1.000000000000000000e+00 1.000036103613586969e+00 1.000003520689154435e+00 1.056206746330446036e-05 1.000000000000000000e+00 1.000035206891544348e+00
1.425712856428214140e-03 9.999774241252946672e-01 4.792571620281005677e-05 9.998511905695066648e-01 1.000000000000000000e+00 1.000007288714817477e+00 2.186614445229828822e-05 1.000000000000000000e+00 1.000072887148174328e+00 1.000007221113786926e+00 2.166334136077807332e-05 1.000000000000000000e+00 1.000072211137869260e+00 9.999926699340463410e-01 2.151317041126223848e-05 9.999281433473902192e-01 1.000000000000000000e+00
1.900950475237618781e-03 9.999917978344768921e-01 3.658740761542096344e-05 9.998871186898020680e-01 1.000035933361429041e+00 1.000021867340019854e+00 4.373667247383143783e-05 1.000000000000000000e+00 1.000145790236281362e+00 1.000021664514851860e+00 4.333098534818927931e-05 1.000000000000000000e+00 1.000144437921343332e+00 1.000006753821822247e+00 2.624022204092666362e-05 9.999633478109358764e-01 1.000068983515742804e+00
2.376188094047023639e-03 1.000008753375118520e+00 5.422763120958598403e-05 9.998871186898020680e-01 1.000071870596755952e+00 1.000069250960743839e+00 7.549742416414801803e-05 1.000000000000000000e+00 1.000218709270132011e+00 1.000068608600089837e+00 7.479707234765025931e-05 1.000000000000000000e+00 1.000216680356073029e+00 1.000038157948746731e+00 5.304567386988303540e-05 9.999633478109358764e-01 1.000139425920637537e+00
2.851425712856428280e-03 1.000051385738035759e+00 7.153445464021760010e-05 9.999230506834415610e-01 1.000174683151042965e+00 1.000127590977216041e+00 1.366640971171687903e-04 1.000000000000000000e+00 1.000401076655546229e+00 1.000126407248763005e+00 1.353960064306912415e-04 1.000000000000000000e+00 1.000397354954247309e+00 1.000087328712950585e+00 9.417765136911613211e-05 9.999985559930734125e-01 1.000245117443620657e+00
3.326663331665832921e-03 1.000090425679946105e+00 7.430919796495587986e-05 9.999949262935374783e-01 1.000215658290966481e+00 1.000182287239225865e+00 1.622593643077963521e-04 1.000000000000000000e+00 1.000474051545301668e+00 1.000180595932307348e+00 1.607535688351023639e-04 1.000000000000000000e+00 1.000469652212910399e+00 1.000132979406822553e+00 1.080356341246332605e-04 1.000000000000000000e+00 1.000314203169168970e+00
3.801900950475237562e-03 1.000103294597579850e+00 8.592339610438499335e-05 1.000000000000000000e+00 1.000287575399565254e+00 1.000240642019982973e+00 1.896456068526205683e-04 1.000000000000000000e+00 1.000583543829122402e+00 1.000238409072464529e+00 1.878854121502467598e-04 1.000000000000000000e+00 1.000578127496522862e+00 1.000167785247139562e+00 1.122163276291160004e-04 1.000000000000000000e+00 1.000348069683481445e+00
4.277138569284642637e-03 1.000171637290438342e+00 1.191984395378421373e-04 1.000000000000000000e+00 1.000359508023261679e+00 1.000309969586346437e+00 2.437702119110546546e-04 1.000000000000000000e+00 1.000802636285975877e+00 1.000307092862809055e+00 2.415069863218165128e-04 1.000000000000000000e+00 1.000795183958117951e+00 1.000234753216398431e+00 1.640822049107393016e-04 1.000000000000000000e+00 1.000559680679937724e+00
