,mw,msq,0sq,1sq,2sq
0,0.2,2.0,6519,1544,3931
1,0.2,2.2,8103,1142,2749
2,0.2,2.3,8939,913,2142
3,0.2,2.7,10926,323,745
4,0.2,3.0,11519,156,319
5,0.3,2.0,4377,2178,5439
6,0.3,2.2,5818,1699,4477
7,0.3,2.3,6707,1426,3861
8,0.3,2.7,9864,599,1531
9,0.3,3.0,11121,289,584
10,0.5,2.0,1684,2643,7667
11,0.5,2.2,2320,2363,7311
12,0.5,2.3,3006,2236,6752
13,0.5,2.7,6553,1453,3988
14,0.5,3.0,9239,830,1925
15,0.7,2.0,614,2698,8682
16,0.7,2.2,883,2525,8586
17,0.7,2.3,1136,2476,8382
18,0.7,2.7,3191,2051,6752
19,0.7,3.0,5884,1592,4518
20,0.9,2.0,319,2579,9096
21,0.9,2.2,410,2412,9172
22,0.9,2.3,462,2282,9250
23,0.9,2.7,1301,2072,8621
24,0.9,3.0,2828,2009,7157
25,1.1,2.0,190,2505,9299
26,1.1,2.2,219,2263,9512
27,1.1,2.3,244,2222,9528
28,1.1,2.7,537,1885,9572
29,1.1,3.0,1160,1993,8841
